# col1     col2    col3    col4    col5    col6   col7 col8 col9 col10 col11  col12 col13 col14 col15 col16
  137.7997 60.0146 93.71   185.81  275.78  1309.0 0.94 0.01 0.0  0.59  -4.78  0.0   0.0   0.0   3.0   1.0  
  137.8468 60.0402 -3.73   107.42  159.43  1014.0 1.0  0.0  0.0  0.44  -10.33 0.0   0.0   0.0   3.0   2.0  
  137.9498 60.012  85.4    -84.06  -124.76 1088.0 0.98 0.0  0.0  0.36  -7.5   0.0   0.0   0.0   3.0   3.0  
  137.8677 59.983  199.48  56.44   83.76   1189.0 1.0  0.0  0.0  0.25  -5.78  0.0   0.0   0.0   3.0   4.0  
  137.8295 60.0331 23.98   136.69  202.87  1266.0 0.4  0.0  0.0  0.69  -4.86  0.0   0.0   0.0   3.0   5.0  
  137.8473 60.0664 -97.72  112.57  167.07  1260.0 1.0  0.01 0.0  0.45  -5.09  0.0   0.0   0.0   3.0   6.0  
  137.7931 60.0314 34.15   201.65  299.28  1303.0 0.51 0.01 0.01 0.61  -4.58  0.0   0.0   0.0   3.0   7.0  
  137.6984 60.0499 -20.96  375.83  557.79  1379.0 0.86 0.01 0.0  0.47  -4.69  0.0   0.0   0.0   3.0   8.0  
  137.9881 60.0432 -31.16  -145.43 -215.84 1371.0 0.39 0.0  0.01 0.67  -4.4   0.0   0.0   0.0   3.0   9.0  
  137.7608 60.0011 146.98  252.49  374.73  1308.0 1.0  0.01 0.0  0.58  -4.81  0.0   0.0   0.0   3.0   10.0 
  137.9121 59.9871 179.33  -22.31  -33.11  1566.0 1.0  0.0  0.0  0.35  -6.46  0.0   0.0   0.0   2.0   11.0 
  137.9032 60.0711 -121.51 13.43   19.94   1194.0 1.0  0.0  0.0  0.64  -5.71  0.0   0.0   0.0   2.0   12.0 
  138.0192 60.104  -253.16 -186.93 -277.43 1607.0 1.0  0.0  0.0  0.29  -7.25  0.0   0.0   0.0   3.0   13.0 
  137.9762 60.0671 -115.45 -118.55 -175.94 1411.0 0.98 0.01 0.0  0.89  -4.85  0.0   0.0   0.0   3.0   14.0 
  137.9626 60.0487 -48.03  -98.33  -145.94 1542.0 0.82 0.0  0.0  0.57  -6.27  0.0   0.0   0.0   3.0   15.0 
  137.9616 60.0442 -31.53  -97.63  -144.9  1535.0 0.77 0.0  0.0  0.92  -6.39  0.0   0.0   0.0   3.0   16.0 
  137.9544 60.0629 -97.94  -80.36  -119.26 1138.0 1.0  0.0  0.0  0.53  -6.56  0.0   0.0   0.0   3.0   17.0 
  137.9544 60.1015 -236.46 -71.26  -105.76 1283.0 1.0  0.01 0.0  0.49  -4.92  0.0   0.0   0.0   3.0   18.0 
  137.7829 60.0276 49.14   219.0   325.03  1198.0 0.9  0.0  0.0  0.49  -5.79  0.0   0.0   0.0   3.0   19.0 
  137.7746 59.9978 157.1   227.0   336.9   1444.0 1.0  0.01 0.0  0.61  -5.05  0.0   0.0   0.0   3.0   20.0 
  137.9209 60.0265 36.66   -28.81  -42.76  984.0  0.06 0.0  0.0  0.63  -8.84  0.0   0.0   0.0   1.0   21.0 
  137.878  60.0247 48.46   47.75   70.87   1228.0 0.67 0.0  0.0  0.45  -5.21  0.0   0.0   0.0   1.0   22.0 
  137.8451 60.0248 51.75   106.71  158.37  1352.0 0.71 0.01 0.0  0.4   -4.65  0.0   0.0   0.0   3.0   23.0 
  137.8305 60.0284 40.44   133.83  198.62  1282.0 0.49 0.0  0.0  0.8   -4.66  0.0   0.0   0.0   3.0   24.0 
  137.8727 60.0354 10.52   59.78   88.72   1072.0 0.29 0.0  0.0  0.48  -7.38  0.0   0.0   0.0   2.0   25.0 
  138.0304 59.9603 261.66  -240.84 -357.44 1486.0 1.0  0.0  0.0  0.54  -5.42  0.0   0.0   0.0   3.0   26.0 
  137.9894 59.9666 244.05  -165.81 -246.09 1493.0 1.0  0.0  0.0  0.42  -5.49  0.0   0.0   0.0   3.0   27.0 
  137.9552 60.0253 36.9    -90.65  -134.53 1300.0 0.44 0.0  0.01 0.44  -4.5   0.0   0.0   0.0   3.0   28.0 
  137.8885 60.0599 -79.26  37.1    55.06   1386.0 0.97 0.01 0.0  0.63  -4.69  0.0   0.0   0.0   1.0   29.0 
  137.7978 60.0927 -186.44 207.67  308.22  1335.0 1.0  0.01 0.0  0.64  -4.74  0.0   0.0   0.0   3.0   30.0 
  137.7113 60.0758 -115.81 358.89  532.64  1201.0 1.0  0.0  0.0  0.61  -5.63  0.0   0.0   0.0   3.0   31.0 
  137.9087 60.0142 82.37   -9.85   -14.61  1729.0 1.0  0.0  0.0  0.5   -11.59 0.0   0.0   0.0   1.0   32.0 
  137.9297 60.0163 72.54   -47.0   -69.75  1166.0 0.79 0.0  0.0  1.02  -5.91  0.0   0.0   0.0   2.0   33.0 
  137.8997 60.0189 66.57   7.42    11.01   1005.0 0.08 0.0  0.0  0.73  -8.16  0.0   0.0   0.0   1.0   34.0 
  137.8692 60.0366 6.74    66.39   98.53   1077.0 0.28 0.0  0.0  0.33  -7.35  0.0   0.0   0.0   2.0   35.0 
  137.8482 60.0398 -2.57   104.77  155.5   1363.0 0.21 0.0  0.01 0.38  -4.28  0.0   0.0   0.0   3.0   36.0 
  137.8468 60.0503 -40.13  109.69  162.8   1392.0 0.46 0.01 0.01 0.35  -4.47  0.0   0.0   0.0   3.0   37.0 
  137.9716 60.0592 -86.67  -112.02 -166.25 1296.0 0.99 0.01 0.0  0.65  -4.89  0.0   0.0   0.0   3.0   38.0 
  137.9469 60.0522 -58.5   -69.39  -102.99 1534.0 0.7  0.0  0.0  0.63  -5.8   0.0   0.0   0.0   2.0   39.0 
  137.7762 60.0455 -14.59  235.31  349.24  1324.0 0.49 0.01 0.01 0.56  -4.54  0.0   0.0   0.0   3.0   40.0 
  137.7544 60.0405 6.01    273.18  405.43  1189.0 0.94 0.0  0.0  0.65  -6.08  0.0   0.0   0.0   3.0   41.0 
  137.6008 60.0311 57.94   546.58  811.2   1386.0 0.4  0.0  0.01 0.52  -4.55  0.0   0.0   0.0   3.0   42.0 
  137.8654 60.0228 56.65   69.96   103.84  1145.0 0.66 0.0  0.0  0.77  -6.15  0.0   0.0   0.0   2.0   43.0 
  137.8618 60.0426 -14.25  81.05   120.29  1494.0 0.35 0.0  0.0  0.32  -5.39  0.0   0.0   0.0   2.0   44.0 
  137.9149 60.0496 -45.34  -12.66  -18.8   1581.0 0.24 0.0  0.0  0.57  -5.96  0.0   0.0   0.0   1.0   45.0 
  137.9161 60.0496 -45.5   -14.72  -21.85  1534.0 0.42 0.0  0.0  0.62  -5.58  0.0   0.0   0.0   1.0   46.0 
  137.9075 60.0495 -44.33  0.71    1.06    1366.0 0.98 0.01 0.0  0.53  -4.84  0.0   0.0   0.0   1.0   47.0 
