# col1     col2    col3    col4    col5    col6   col7 col8 col9 col10 col11  col12 col13 col14 col15 col16
  137.7997 60.0146 184.39  -96.49  -143.2  1309.0 0.99 0.01 0.0  0.59  -4.82  0.0   0.0   0.0   3.0   1.0  
  137.8468 60.0402 107.47  2.12    3.14    1014.0 0.0  0.0  0.0  0.44  -6.0   0.0   0.0   0.0   1.0   2.0  
  137.9498 60.012  -85.33  -84.13  -124.86 1088.0 1.0  0.0  0.0  0.36  -7.52  0.0   0.0   0.0   3.0   3.0  
  137.8677 59.983  53.44   -200.31 -297.29 1189.0 1.0  0.0  0.0  0.25  -5.78  0.0   0.0   0.0   3.0   4.0  
  137.8295 60.0331 136.31  -26.02  -38.62  1266.0 0.49 0.0  0.0  0.69  -5.08  0.0   0.0   0.0   2.0   5.0  
  137.8473 60.0664 114.03  96.02   142.51  1260.0 0.94 0.01 0.0  0.45  -5.03  0.0   0.0   0.0   3.0   6.0  
  137.7931 60.0314 201.11  -37.18  -55.17  1303.0 1.0  0.01 0.0  0.61  -5.26  0.0   0.0   0.0   3.0   7.0  
  137.6984 60.0499 376.1   15.31   22.73   1379.0 1.0  0.01 0.0  0.47  -4.84  0.0   0.0   0.0   3.0   8.0  
  137.9881 60.0432 -144.95 33.34   49.47   1371.0 0.81 0.0  0.0  0.67  -5.16  0.0   0.0   0.0   2.0   9.0  
  137.7608 60.0011 250.25  -150.75 -223.74 1308.0 1.0  0.01 0.0  0.58  -4.81  0.0   0.0   0.0   3.0   10.0 
  137.9121 59.9871 -25.0   -178.97 -265.62 1566.0 1.0  0.0  0.0  0.35  -6.5   0.0   0.0   0.0   3.0   11.0 
  137.9032 60.0711 15.26   121.3   180.03  1194.0 1.0  0.0  0.0  0.64  -5.72  0.0   0.0   0.0   3.0   12.0 
  138.0192 60.104  -183.11 255.94  379.85  1607.0 1.0  0.0  0.0  0.29  -7.25  0.0   0.0   0.0   3.0   13.0 
  137.9762 60.0671 -116.8  117.22  173.96  1411.0 0.99 0.01 0.0  0.89  -4.85  0.0   0.0   0.0   3.0   14.0 
  137.9626 60.0487 -97.6   49.5    73.46   1542.0 0.41 0.0  0.0  0.57  -5.53  0.0   0.0   0.0   2.0   15.0 
  137.9616 60.0442 -97.15  32.99   48.96   1535.0 0.23 0.0  0.0  0.92  -5.14  0.0   0.0   0.0   2.0   16.0 
  137.9544 60.0629 -78.88  99.14   147.14  1138.0 1.0  0.0  0.0  0.53  -6.56  0.0   0.0   0.0   3.0   17.0 
