# col1     col2    col3    col4    col5   col6 col7 col8 col9 col10 col11
  151.2995 -7.7083 4.38    -48.42  689.0  0.38 0.36 1.17 0.0  1.0   1.0  
  151.2892 -7.6187 207.95  -301.14 798.0  0.99 0.96 0.71 0.0  4.0   2.0  
  151.2755 -7.6893 -7.06   -157.66 665.0  0.62 0.63 1.06 0.0  3.0   3.0  
  151.2177 -7.7365 -272.95 -185.13 709.0  0.89 1.0  1.05 0.0  4.0   4.0  
  151.3585 -7.645  314.32  -58.57  782.0  0.69 0.73 1.05 0.0  2.0   5.0  
  151.2735 -7.7173 -83.88  -91.82  750.0  0.39 0.7  1.13 0.0  1.0   6.0  
  151.3228 -7.6948 97.19   -23.5   997.0  0.5  0.01 1.11 5.0  1.0   7.0  
  151.3052 -7.7346 -48.73  32.55   531.0  0.46 0.21 1.05 0.0  1.0   8.0  
  151.3646 -7.6931 206.41  78.32   661.0  0.52 0.92 0.75 0.0  2.0   9.0  
  151.2914 -7.7244 -57.44  -28.36  480.0  0.5  0.12 0.82 0.0  1.0   10.0 
  151.2472 -7.7264 -173.11 -135.42 678.0  0.63 0.79 0.87 0.0  3.0   11.0 
  151.2737 -7.6949 -25.8   -147.85 850.0  0.57 0.61 1.07 5.0  3.0   12.0 
  151.3125 -7.6483 190.68  -167.34 583.0  0.78 0.94 0.84 0.0  3.0   13.0 
  151.2521 -7.7134 -127.53 -155.94 499.0  0.67 0.34 0.82 0.0  3.0   14.0 
  151.4367 -7.7022 363.6   284.55  963.0  0.5  0.05 0.7  5.0  4.0   15.0 
  151.3068 -7.7588 -106.66 97.69   510.0  0.43 0.15 0.81 0.0  2.0   16.0 
  151.3028 -7.6743 99.59   -126.15 859.0  0.51 0.1  0.86 0.0  2.0   17.0 
  151.3677 -7.6829 240.17  60.38   652.0  0.56 0.98 1.05 0.0  2.0   18.0 
  151.2318 -7.7639 -307.83 -79.87  625.0  0.7  0.96 0.75 0.0  2.0   19.0 
  151.2625 -7.7322 -149.55 -82.21  904.0  0.44 0.91 0.72 5.0  2.0   20.0 
  151.2621 -7.6741 -1.75   -229.75 424.0  0.91 1.0  0.92 5.0  4.0   21.0 
