# col1     col2    col3    col4    col5    col6   col7 col8 col9 col10 col11  col12 col13 col14 col15 col16
  151.2995 -7.7083 48.45   4.04    6.91    689.0  1.0  0.0  0.0  1.17  -5.49  0.0   0.0   0.0   1.0   1.0  
  151.2892 -7.6187 302.58  205.85  351.98  798.0  1.0  0.0  0.0  0.71  -5.92  0.0   0.0   0.0   4.0   2.0  
  151.2755 -7.6893 157.61  -8.16   -13.96  665.0  1.0  0.01 0.0  1.06  -4.96  0.0   0.0   0.0   1.0   3.0  
  151.2177 -7.7365 183.22  -274.23 -468.91 709.0  1.0  0.01 0.0  1.05  -4.63  0.0   0.0   0.0   4.0   4.0  
  151.3585 -7.645  60.76   313.91  536.75  782.0  0.99 0.0  0.0  1.05  -5.92  0.0   0.0   0.0   4.0   5.0  
  151.2735 -7.7173 91.24   -84.51  -144.51 750.0  0.7  0.0  0.0  1.13  -5.56  0.0   0.0   0.0   1.0   6.0  
  151.3228 -7.6948 24.17   97.03   165.91  997.0  0.01 0.0  0.0  1.11  -9.75  0.0   0.0   0.0   2.0   7.0  
  151.3052 -7.7346 -32.89  -48.5   -82.93  531.0  0.73 0.0  0.0  1.05  -6.06  0.0   0.0   0.0   1.0   8.0  
  151.3646 -7.6931 -76.88  206.95  353.87  661.0  0.54 0.01 0.01 0.75  -4.37  0.0   0.0   0.0   4.0   9.0  
  151.2914 -7.7244 27.96   -57.64  -98.55  480.0  0.35 0.0  0.0  0.82  -6.3   0.0   0.0   0.0   1.0   10.0 
  151.2472 -7.7264 134.21  -174.05 -297.61 678.0  0.7  0.01 0.0  0.87  -4.45  0.0   0.0   0.0   3.0   11.0 
  151.2737 -7.6949 147.67  -26.83  -45.87  850.0  1.0  0.0  0.0  1.07  -7.3   0.0   0.0   0.0   1.0   12.0 
  151.3125 -7.6483 168.67  189.51  324.04  583.0  0.59 0.01 0.0  0.84  -4.61  0.0   0.0   0.0   4.0   13.0 
  151.2521 -7.7134 155.04  -128.62 -219.93 499.0  0.28 0.0  0.0  0.82  -5.85  0.0   0.0   0.0   3.0   14.0 
  151.4367 -7.7022 -282.01 365.58  625.11  963.0  0.93 0.0  0.0  0.7   -12.75 0.0   0.0   0.0   4.0   15.0 
  151.3068 -7.7588 -98.43  -105.97 -181.2  510.0  0.57 0.0  0.0  0.81  -6.54  0.0   0.0   0.0   2.0   16.0 
  151.3028 -7.6743 126.84  98.7    168.77  859.0  0.72 0.0  0.0  0.86  -7.79  0.0   0.0   0.0   2.0   17.0 
  151.3677 -7.6829 -58.71  240.59  411.39  652.0  0.54 0.01 0.01 1.05  -4.3   0.0   0.0   0.0   4.0   18.0 
  151.2318 -7.7639 77.72   -308.38 -527.31 625.0  0.54 0.01 0.01 0.75  -4.2   0.0   0.0   0.0   4.0   19.0 
  151.2625 -7.7322 81.17   -150.12 -256.69 904.0  0.66 0.0  0.0  0.72  -9.89  0.0   0.0   0.0   3.0   20.0 
  151.2621 -7.6741 229.73  -3.35   -5.74   424.0  0.17 0.0  0.0  0.92  -6.47  0.0   0.0   0.0   1.0   21.0 
  151.2425 -7.7581 65.55   -266.64 -455.93 711.0  0.79 0.01 0.0  1.06  -4.79  0.0   0.0   0.0   4.0   22.0 
  151.3139 -7.7261 -32.88  -5.02   -8.58   649.0  0.99 0.01 0.0  1.0   -5.19  0.0   0.0   0.0   1.0   23.0 
  151.2985 -7.7316 -8.09   -57.85  -98.92  510.0  0.74 0.0  0.0  1.02  -6.09  0.0   0.0   0.0   1.0   24.0 
  151.2762 -7.671  202.19  40.15   68.65   742.0  1.0  0.01 0.0  0.74  -5.07  0.0   0.0   0.0   1.0   25.0 
  151.3359 -7.7109 -49.99  89.28   152.65  810.0  0.26 0.0  0.0  1.09  -5.47  0.0   0.0   0.0   1.0   26.0 
  151.3282 -7.7045 -14.33  86.14   147.29  924.0  0.56 0.0  0.0  0.77  -8.88  0.0   0.0   0.0   1.0   27.0 
  151.3114 -7.6494 168.38  184.05  314.71  881.0  1.0  0.0  0.0  1.07  -8.7   0.0   0.0   0.0   4.0   28.0 
  151.29   -7.7088 71.31   -21.13  -36.13  437.0  0.02 0.0  0.01 1.08  -5.16  0.0   0.0   0.0   1.0   29.0 
  151.3131 -7.7357 -55.54  -31.36  -53.62  525.0  0.95 0.0  0.0  1.01  -6.69  0.0   0.0   0.0   1.0   30.0 
  151.3865 -7.6611 -50.73  343.64  587.59  826.0  0.97 0.0  0.0  0.98  -6.91  0.0   0.0   0.0   4.0   31.0 
  151.2566 -7.6466 313.95  52.83   90.34   611.0  1.0  0.01 0.0  0.82  -4.59  0.0   0.0   0.0   2.0   32.0 
  151.2729 -7.7442 24.16   -154.41 -264.03 539.0  0.42 0.0  0.0  0.73  -5.53  0.0   0.0   0.0   3.0   33.0 
  151.3328 -7.706  -29.51  93.89   160.55  879.0  0.09 0.0  0.0  1.22  -6.47  0.0   0.0   0.0   2.0   34.0 
  151.3383 -7.6936 -11.86  139.08  237.82  1028.0 0.17 0.0  0.0  0.85  -15.05 0.0   0.0   0.0   3.0   35.0 
  151.293  -7.7214 31.49   -45.72  -78.18  525.0  0.32 0.0  0.0  1.17  -5.29  0.0   0.0   0.0   1.0   36.0 
  151.2895 -7.6639 186.63  91.75   156.88  878.0  0.98 0.0  0.0  0.8   -8.3   0.0   0.0   0.0   2.0   37.0 
  151.305  -7.697  63.35   46.57   79.64   895.0  0.98 0.0  0.0  0.99  -8.98  0.0   0.0   0.0   1.0   38.0 
  151.3158 -7.7328 -54.8   -17.26  -29.51  862.0  0.04 0.0  0.01 1.08  -4.9   0.0   0.0   0.0   1.0   39.0 
  151.2427 -7.7252 148.61  -182.37 -311.84 665.0  0.96 0.01 0.0  1.06  -4.65  0.0   0.0   0.0   4.0   40.0 
  151.3065 -7.7363 -40.53  -49.73  -85.03  596.0  0.6  0.0  0.0  0.85  -5.13  0.0   0.0   0.0   1.0   41.0 
  151.3267 -7.7364 -91.66  1.03    1.76    702.0  0.94 0.0  0.0  0.81  -5.54  0.0   0.0   0.0   1.0   42.0 
  151.3293 -7.6959 4.99    110.63  189.17  660.0  0.65 0.01 0.0  0.82  -4.55  0.0   0.0   0.0   2.0   43.0 
  151.3006 -7.7589 -83.03  -121.84 -208.34 770.0  0.31 0.0  0.0  1.12  -5.01  0.0   0.0   0.0   2.0   44.0 
  151.3295 -7.6411 143.95  250.8   428.84  512.0  0.56 0.0  0.0  0.72  -5.99  0.0   0.0   0.0   4.0   45.0 
  151.2846 -7.8151 -185.84 -305.4  -522.21 486.0  1.0  0.0  0.0  0.98  -7.14  0.0   0.0   0.0   4.0   46.0 
  151.2939 -7.6809 132.45  59.43   101.62  463.0  0.1  0.0  0.0  1.04  -5.44  0.0   0.0   0.0   1.0   47.0 
  151.3202 -7.6869 50.63   110.59  189.1   805.0  0.4  0.0  0.0  1.14  -5.99  0.0   0.0   0.0   2.0   48.0 
  151.3226 -7.6862 46.33   118.5   202.62  809.0  0.39 0.0  0.0  0.84  -6.0   0.0   0.0   0.0   2.0   49.0 
  151.2966 -7.6603 178.06  118.7   202.96  547.0  0.62 0.0  0.0  1.09  -5.24  0.0   0.0   0.0   2.0   50.0 
  151.316  -7.704  17.87   56.64   96.86   821.0  0.73 0.0  0.0  1.21  -6.31  0.0   0.0   0.0   1.0   51.0 
  151.3347 -7.6783 36.19   169.14  289.22  879.0  0.49 0.0  0.0  0.87  -8.49  0.0   0.0   0.0   3.0   52.0 
  151.3044 -7.8061 -212.8  -232.87 -398.19 696.0  0.97 0.01 0.0  1.08  -4.47  0.0   0.0   0.0   4.0   53.0 
  151.2706 -7.6858 178.75  -11.63  -19.89  795.0  1.0  0.0  0.0  0.73  -5.93  0.0   0.0   0.0   1.0   54.0 
  151.2465 -7.7919 -30.51  -342.43 -585.53 651.0  0.63 0.01 0.01 1.08  -4.21  0.0   0.0   0.0   4.0   55.0 
  151.3813 -7.7508 -265.87 102.01  174.43  642.0  1.0  0.01 0.0  1.05  -4.38  0.0   0.0   0.0   3.0   56.0 
  151.2224 -7.7723 80.09   -353.47 -604.4  684.0  0.79 0.01 0.0  1.06  -4.38  0.0   0.0   0.0   4.0   57.0 
  151.2744 -7.7311 53.73   -117.32 -200.6  893.0  0.16 0.0  0.0  1.02  -7.69  0.0   0.0   0.0   2.0   58.0 
