# RA         DEC       CaT  CaTerr Ecat Z/H   Zerr Ezh  col7 col8 col9
  151.29953  -7.708301 6.89 0.85   0.87 -0.57 0.39 0.4  0.36 1.17 0.0 
  151.291367 -7.72444  5.87 0.26   0.35 -1.05 0.12 0.16 0.12 0.82 0.0 
  151.33812  -7.7147   5.34 0.36   0.58 -1.29 0.17 0.27 0.05 0.8  5.0 
  151.299377 -7.78019  5.56 0.31   0.49 -1.19 0.14 0.22 0.15 0.84 0.0 
  151.330948 -7.698488 6.27 0.41   0.35 -0.86 0.19 0.16 0.01 0.82 0.0 
  151.292953 -7.757453 5.02 0.3    0.56 -1.44 0.14 0.26 0.05 0.84 0.0 
  151.280228 -7.678983 7.56 0.54   0.58 -0.27 0.25 0.27 0.72 1.02 0.0 
  151.297562 -7.749811 5.82 0.28   0.31 -1.07 0.13 0.14 0.04 0.88 0.0 
  151.299561 -7.758768 7.44 0.88   1.05 -0.32 0.41 0.48 0.29 1.15 0.0 
  151.289978 -7.700152 8.08 0.25   0.2  -0.03 0.12 0.09 0.34 1.09 0.0 
  151.247238 -7.726436 5.64 0.78   1.03 -1.15 0.36 0.47 0.79 0.87 0.0 
  151.318405 -7.734052 4.66 0.35   0.51 -1.6  0.16 0.23 0.52 0.75 5.0 
  151.180435 -7.712909 8.24 0.47   0.74 0.04  0.21 0.34 0.97 1.09 0.0 
  151.345322 -7.684971 5.61 0.27   0.4  -1.17 0.12 0.18 0.21 0.8  0.0 
  151.283585 -7.704559 8.7  0.54   0.52 0.26  0.25 0.24 0.35 1.15 0.0 
  151.303848 -7.745751 8.74 1.04   1.12 0.28  0.48 0.51 0.07 1.15 0.0 
  151.406143 -7.664708 4.44 0.41   0.54 -1.7  0.19 0.25 0.44 0.76 0.0 
  151.313431 -7.733457 7.42 0.47   0.94 -0.33 0.22 0.43 0.71 0.99 5.0 
  151.327621 -7.674869 8.16 0.32   0.45 0.01  0.15 0.2  0.99 1.09 0.0 
  151.335983 -7.690753 8.24 0.52   0.4  0.05  0.24 0.18 0.02 1.09 0.0 
  151.220322 -7.743761 7.6  0.47   0.54 -0.25 0.22 0.25 0.4  1.02 0.0 
  151.273743 -7.694876 8.12 0.67   0.6  -0.01 0.31 0.28 0.61 1.07 5.0 
  151.279327 -7.701391 8.52 0.81   1.02 0.17  0.37 0.47 0.54 1.15 0.0 
  151.312607 -7.808115 5.46 0.3    1.29 -1.23 0.14 0.59 1.0  0.8  0.0 
  151.310089 -7.667824 8.41 0.81   0.66 0.12  0.37 0.3  0.3  1.11 0.0 
  151.290115 -7.729256 7.4  0.85   0.83 -0.34 0.39 0.38 0.97 1.1  0.0 
  151.329605 -7.773203 4.84 0.63   0.49 -1.52 0.29 0.23 1.0  0.85 0.0 
  151.324539 -7.626198 3.22 0.34   1.12 -2.27 0.16 0.52 1.0  0.73 0.0 
  151.235931 -7.661403 7.64 0.61   0.79 -0.23 0.28 0.36 0.99 1.02 0.0 
  151.299973 -7.752374 7.27 0.8    0.8  -0.4  0.37 0.37 0.37 1.23 0.0 
  151.303543 -7.712862 7.07 0.34   0.4  -0.5  0.16 0.18 0.84 1.1  5.0 
  151.348511 -7.682946 6.83 0.81   1.03 -0.61 0.37 0.47 0.01 1.05 0.0 
  151.275681 -7.726128 8.92 0.82   0.76 0.36  0.38 0.35 0.25 1.15 0.0 
  151.325409 -7.666935 3.34 0.33   0.57 -2.21 0.15 0.26 0.0  0.66 5.0 
  151.282166 -7.799972 7.68 0.53   0.45 -0.21 0.24 0.21 0.99 1.1  0.0 
  151.239029 -7.723396 5.65 0.34   0.92 -1.15 0.16 0.42 0.62 0.82 0.0 
  151.252106 -7.713421 6.11 0.31   0.36 -0.94 0.14 0.17 0.34 0.82 0.0 
  151.37352  -7.650659 3.32 0.26   0.61 -2.22 0.12 0.28 0.98 0.67 0.0 
  151.355652 -7.692199 6.01 0.88   0.93 -0.98 0.4  0.43 0.04 0.83 0.0 
  151.388184 -7.675435 7.34 0.47   0.48 -0.37 0.22 0.22 0.82 1.04 0.0 
  151.336166 -7.69206  5.57 0.37   0.96 -1.18 0.17 0.44 0.03 0.79 0.0 
  151.289215 -7.772296 4.89 0.34   0.39 -1.5  0.16 0.18 0.21 0.81 0.0 
  151.286072 -7.702492 7.04 1.07   0.82 -0.51 0.49 0.38 0.39 1.14 5.0 
  151.314774 -7.675478 5.08 0.41   1.21 -1.41 0.19 0.56 0.0  0.78 0.0 
  151.277267 -7.672374 4.68 0.32   0.76 -1.59 0.15 0.35 0.81 0.67 0.0 
  151.329346 -7.739321 5.02 0.29   0.32 -1.44 0.13 0.15 0.04 0.77 5.0 
  151.436691 -7.702196 5.69 0.48   0.4  -1.13 0.22 0.18 0.05 0.7  5.0 
  151.29277  -7.798222 9.65 0.72   0.59 0.69  0.33 0.27 0.95 1.12 0.0 
  151.30275  -7.67431  7.08 0.55   0.57 -0.49 0.25 0.26 0.1  0.86 0.0 
  151.367661 -7.682886 7.25 0.25   0.36 -0.41 0.12 0.17 0.98 1.05 0.0 
  151.231796 -7.763917 5.5  0.41   0.41 -1.22 0.19 0.19 0.96 0.75 0.0 
  151.289154 -7.618746 3.0  0.32   1.0  -2.37 0.15 0.46 0.96 0.71 0.0 
  151.262482 -7.732154 5.68 0.47   1.11 -1.14 0.21 0.51 0.91 0.72 5.0 
  151.262131 -7.674147 5.9  0.58   1.47 -1.03 0.27 0.68 1.0  0.92 5.0 
  151.242493 -7.758109 8.23 0.26   0.31 0.04  0.12 0.14 0.99 1.06 0.0 
  151.298462 -7.731563 8.75 0.65   0.63 0.28  0.3  0.29 0.27 1.02 0.0 
  151.276215 -7.671011 4.27 0.39   0.69 -1.78 0.18 0.32 0.75 0.74 0.0 
  151.335938 -7.710894 6.58 0.49   0.91 -0.72 0.23 0.42 0.13 1.09 0.0 
  151.328247 -7.704507 5.06 0.3    0.81 -1.42 0.14 0.37 0.02 0.77 0.0 
  151.311432 -7.649388 7.36 0.3    0.36 -0.36 0.14 0.17 0.25 1.07 5.0 
  151.290009 -7.708754 6.97 0.5    0.77 -0.54 0.23 0.35 0.28 1.08 5.0 
  151.313126 -7.735679 7.79 1.16   0.72 -0.16 0.54 0.33 0.23 1.01 0.0 
  151.386505 -7.661079 6.72 0.73   1.25 -0.66 0.34 0.57 0.43 0.98 0.0 
  151.256577 -7.646569 6.32 0.93   1.19 -0.84 0.43 0.55 1.0  0.82 0.0 
  151.272934 -7.744195 2.95 0.33   1.24 -2.39 0.15 0.57 0.29 0.73 0.0 
  151.332794 -7.705964 8.06 0.47   0.34 -0.04 0.21 0.16 0.05 1.22 0.0 
  151.338257 -7.693623 6.28 0.26   0.27 -0.86 0.12 0.12 0.01 0.85 5.0 
  151.29303  -7.721406 8.09 0.82   0.46 -0.02 0.38 0.21 0.21 1.17 0.0 
  151.28952  -7.663932 5.12 0.48   0.72 -1.39 0.22 0.33 0.47 0.8  5.0 
  151.305008 -7.69702  8.03 0.63   0.56 -0.05 0.29 0.26 0.14 0.99 5.0 
  151.217651 -7.736487 6.19 0.9    0.73 -0.9  0.41 0.34 1.0  1.05 0.0 
  151.242722 -7.725242 8.04 0.43   0.29 -0.05 0.2  0.13 0.8  1.06 0.0 
  151.306503 -7.73634  5.15 0.41   0.61 -1.38 0.19 0.28 0.33 0.85 0.0 
  151.329269 -7.695902 6.04 0.76   1.32 -0.97 0.35 0.61 1.0  0.82 0.0 
  151.300644 -7.758852 8.83 0.91   0.38 0.32  0.42 0.18 0.92 1.12 0.0 
  151.329514 -7.641075 4.06 0.3    0.42 -1.88 0.14 0.19 1.0  0.72 5.0 
  151.284637 -7.815101 9.33 0.95   0.44 0.55  0.44 0.2  0.3  0.98 0.0 
  151.293854 -7.680923 7.15 0.5    0.56 -0.46 0.23 0.26 0.37 1.04 5.0 
  151.320221 -7.686945 7.45 0.43   0.89 -0.32 0.2  0.41 0.13 1.14 0.0 
  151.358505 -7.64502  8.15 0.92   0.7  0.0   0.42 0.32 0.73 1.05 0.0 
  151.322632 -7.686235 6.34 0.49   0.91 -0.83 0.23 0.42 0.13 0.84 0.0 
  151.29657  -7.660322 7.6  0.27   0.51 -0.25 0.12 0.23 0.9  1.09 0.0 
  151.316025 -7.703975 8.66 0.52   0.36 0.24  0.24 0.17 0.18 1.21 0.0 
  151.334686 -7.67828  6.2  0.46   1.12 -0.9  0.21 0.52 0.04 0.87 0.0 
  151.304352 -7.80615  8.56 0.56   0.44 0.19  0.26 0.2  1.0  1.08 0.0 
  151.270599 -7.685785 5.18 0.29   0.97 -1.37 0.14 0.45 0.73 0.73 0.0 
  151.246506 -7.791864 7.91 0.33   0.31 -0.1  0.15 0.14 1.0  1.08 0.0 
  151.381256 -7.750796 8.12 0.65   0.97 -0.01 0.3  0.45 0.99 1.05 0.0 
  151.222397 -7.772308 8.61 0.32   0.3  0.22  0.15 0.14 0.99 1.06 0.0 
  151.273499 -7.71729  7.92 0.72   0.99 -0.1  0.33 0.45 0.7  1.13 0.0 
  151.297089 -7.7059   5.93 0.25   0.29 -1.02 0.11 0.13 0.33 0.8  0.0 
  151.25621  -7.742261 5.36 0.29   0.65 -1.28 0.13 0.3  0.96 0.74 0.0 
  151.276749 -7.722721 7.71 0.47   0.34 -0.2  0.22 0.15 0.11 1.13 0.0 
  151.354553 -7.715708 5.19 0.35   0.47 -1.36 0.16 0.22 0.0  0.69 5.0 
  151.33989  -7.677216 8.56 0.97   0.53 0.19  0.45 0.25 0.03 1.31 0.0 
  151.359512 -7.731451 4.7  0.31   0.64 -1.59 0.14 0.29 0.79 0.78 0.0 
  151.32309  -7.731152 6.91 0.45   0.59 -0.57 0.21 0.27 0.33 0.87 0.0 
  151.238708 -7.748375 4.95 0.36   1.42 -1.47 0.17 0.66 0.8  0.83 0.0 
  151.322769 -7.694806 6.34 0.49   0.99 -0.83 0.23 0.46 0.01 1.11 5.0 
  151.289673 -7.81287  4.59 0.57   0.8  -1.64 0.26 0.37 1.0  0.75 0.0 
  151.267899 -7.762677 7.72 0.73   0.61 -0.2  0.34 0.28 0.07 1.19 0.0 
  151.289551 -7.746073 5.55 0.54   1.4  -1.19 0.25 0.64 0.06 0.77 0.0 
  151.264038 -7.775244 5.5  0.36   0.63 -1.22 0.17 0.29 0.01 0.83 0.0 
  151.280807 -7.72809  8.51 0.48   0.38 0.17  0.22 0.17 0.37 1.14 0.0 
  151.345734 -7.667215 4.42 0.34   1.21 -1.72 0.15 0.56 0.05 0.74 0.0 
  151.339691 -7.69441  6.96 0.37   0.44 -0.54 0.17 0.2  0.92 0.94 0.0 
  151.305237 -7.734598 7.23 0.56   0.57 -0.42 0.26 0.26 0.21 1.05 0.0 
  151.336136 -7.624189 5.43 0.65   0.8  -1.25 0.3  0.37 0.02 0.75 5.0 
  151.308456 -7.738934 6.63 0.43   1.08 -0.7  0.2  0.5  0.29 1.05 0.0 
  151.310608 -7.704722 7.92 0.49   0.36 -0.1  0.23 0.17 0.88 1.13 0.0 
  151.36702  -7.790661 5.73 0.59   1.25 -1.11 0.27 0.57 0.99 0.86 0.0 
  151.32254  -7.625632 8.74 0.69   0.76 0.27  0.32 0.35 0.89 1.11 0.0 
  151.33046  -7.738787 6.05 0.31   0.34 -0.96 0.14 0.16 0.43 0.79 0.0 
  151.364594 -7.693063 5.24 0.52   1.39 -1.34 0.24 0.64 0.92 0.75 0.0 
  151.332993 -7.683229 7.54 1.05   0.8  -0.28 0.48 0.37 1.0  1.04 0.0 
  151.323242 -7.690867 4.83 0.64   0.84 -1.52 0.29 0.39 1.0  0.76 0.0 
  151.261215 -7.781116 4.98 0.26   0.65 -1.46 0.12 0.3  0.99 0.75 0.0 
  151.318329 -7.705782 9.33 0.48   0.51 0.55  0.22 0.23 0.02 1.1  5.0 
