# col1     col2    col3    col4    col5    col6  col7 col8 col9 col10 col11 col12 col13 col14 col15 col16
  345.255  30.1399 25.02   -1.07   -1.56   741.0 0.02 0.0  0.02 7.59  -3.69 0.0   0.0   0.0   1.0   2.0  
  345.2504 30.1405 14.04   8.49    12.4    800.0 0.21 0.0  0.02 17.73 -3.82 0.0   0.0   0.0   1.0   3.0  
  345.2472 30.1424 2.47    11.78   17.2    838.0 0.31 0.01 0.02 5.8   -3.74 0.0   0.0   0.0   1.0   4.0  
  345.2522 30.1486 -4.72   -14.54  -21.22  719.0 0.77 0.0  0.0  24.75 -8.53 0.0   0.0   0.0   1.0   5.0  
  345.2468 30.1482 -14.47  -0.87   -1.27   881.0 0.63 0.01 0.0  6.75  -4.61 0.0   0.0   0.0   1.0   12.0 
  345.2512 30.1462 -0.16   -6.77   -9.88   776.0 0.55 0.0  0.0  11.89 -5.04 0.0   0.0   0.0   1.0   14.0 
  345.2359 30.1574 -61.45  3.69    5.38    944.0 0.01 0.0  0.03 6.97  -3.51 0.0   0.0   0.0   1.0   19.0 
  345.2523 30.1485 -4.0    -14.61  -21.32  769.0 0.5  0.0  0.0  21.75 -5.68 0.0   0.0   0.0   1.0   20.0 
  345.2431 30.1577 -48.05  -14.19  -20.71  908.0 0.05 0.0  0.02 10.16 -3.68 0.0   0.0   0.0   1.0   21.0 
  345.2659 30.136  57.65   -17.8   -25.97  810.0 0.1  0.0  0.01 11.0  -4.32 0.0   0.0   0.0   1.0   22.0 
  345.2452 30.1489 -19.32  1.31    1.91    873.0 0.72 0.01 0.0  17.67 -4.78 0.0   0.0   0.0   1.0   24.0 
  345.2628 30.139  43.09   -17.55  -25.61  768.0 0.02 0.0  0.03 19.23 -3.64 0.0   0.0   0.0   1.0   29.0 
  345.2465 30.1559 -36.17  -17.9   -26.13  943.0 0.02 0.0  0.01 10.32 -4.24 0.0   0.0   0.0   1.0   30.0 
  345.2553 30.1313 49.09   18.31   26.72   749.0 0.02 0.0  0.02 29.13 -3.9  0.0   0.0   0.0   1.0   32.0 
  345.2339 30.1566 -63.56  10.24   14.94   946.0 0.01 0.0  0.03 22.92 -3.62 0.0   0.0   0.0   1.0   35.0 
  345.2474 30.1425 2.56    11.18   16.32   837.0 0.33 0.01 0.02 6.81  -3.74 0.0   0.0   0.0   1.0   38.0 
  345.2532 30.1465 3.34    -12.13  -17.7   814.0 0.3  0.01 0.01 8.8   -3.87 0.0   0.0   0.0   1.0   39.0 
  345.2455 30.1456 -9.81   8.18    11.94   923.0 0.14 0.0  0.01 13.78 -4.35 0.0   0.0   0.0   1.0   40.0 
  345.2509 30.1278 49.82   36.95   53.93   725.0 0.02 0.0  0.0  7.97  -5.63 0.0   0.0   0.0   2.0   1.0  
  345.2512 30.1599 -37.7   -38.58  -56.3   931.0 0.05 0.0  0.01 7.1   -4.65 0.0   0.0   0.0   2.0   9.0  
  345.2672 30.1335 67.05   -14.93  -21.79  766.0 0.01 0.0  0.03 2.86  -3.54 0.0   0.0   0.0   2.0   15.0 
  345.2597 30.1493 8.56    -34.23  -49.96  854.0 0.15 0.0  0.02 9.42  -3.83 0.0   0.0   0.0   2.0   18.0 
  345.2586 30.1246 74.23   26.01   37.96   725.0 0.01 0.0  0.01 19.7  -4.77 0.0   0.0   0.0   2.0   25.0 
  345.2555 30.1556 -17.23  -38.91  -56.79  910.0 0.1  0.0  0.01 13.29 -4.49 0.0   0.0   0.0   2.0   31.0 
  345.2259 30.1563 -78.81  29.79   43.48   969.0 0.0  0.0  0.01 19.59 -5.0  0.0   0.0   0.0   2.0   33.0 
  345.2514 30.1598 -37.04  -38.7   -56.48  927.0 0.05 0.0  0.01 7.1   -4.54 0.0   0.0   0.0   2.0   36.0 
  345.2233 30.1555 -81.75  37.84   55.23   927.0 0.0  0.0  0.03 8.49  -3.63 0.0   0.0   0.0   3.0   8.0  
  345.278  30.1201 125.63  -9.66   -14.1   726.0 0.0  0.0  0.02 8.91  -3.7  0.0   0.0   0.0   3.0   11.0 
  345.2204 30.1678 -121.26 16.25   23.72   951.0 0.0  0.0  0.03 15.95 -3.52 0.0   0.0   0.0   3.0   16.0 
  345.2688 30.1475 31.79   -51.27  -74.83  750.0 0.0  0.0  0.0  6.0   -5.3  0.0   0.0   0.0   3.0   17.0 
  345.275  30.1219 114.51  -6.5    -9.49   776.0 0.0  0.0  0.02 11.1  -4.08 0.0   0.0   0.0   3.0   23.0 
  345.2296 30.1725 -115.89 -16.6   -24.22  868.0 0.78 0.0  0.0  33.04 -5.29 0.0   0.0   0.0   3.0   27.0 
  345.2238 30.1277 -4.46   101.47  148.09  782.0 0.47 0.0  0.0  18.3  -4.89 0.0   0.0   0.0   4.0   6.0  
  345.2223 30.1451 -55.23  64.4    93.98   766.0 0.85 0.0  0.0  19.58 -7.0  0.0   0.0   0.0   4.0   7.0  
  345.2963 30.1713 21.92   -172.03 -251.07 866.0 0.87 0.01 0.0  2.11  -4.42 0.0   0.0   0.0   4.0   10.0 
  345.2907 30.1138 168.52  -25.0   -36.49  819.0 0.82 0.0  0.0  3.17  -6.01 0.0   0.0   0.0   4.0   13.0 
