# col1     col2    col3    col4    col5  col6 col7 col8  col9 col10 col11
  345.2509 30.1278 -36.39  -50.24  725.0 0.19 0.0  7.97  5.0  3.0   1.0  
  345.255  30.1399 -24.18  -6.51   741.0 0.23 0.02 7.59  0.0  1.0   2.0  
  345.2504 30.1405 -10.83  -12.33  800.0 0.33 0.21 17.73 0.0  1.0   3.0  
  345.2472 30.1424 1.19    -11.98  838.0 0.34 0.32 5.8   0.0  1.0   4.0  
  345.2522 30.1486 0.12    15.29   719.0 0.33 0.52 24.75 5.0  1.0   5.0  
  345.2238 30.1277 34.8    -95.42  782.0 0.39 0.67 18.3  0.0  4.0   6.0  
  345.2223 30.1451 72.05   -44.78  766.0 0.1  0.01 19.58 5.0  3.0   7.0  
  345.2233 30.1555 89.35   -11.48  927.0 0.07 0.01 8.49  0.0  2.0   8.0  
  345.2512 30.1599 24.34   48.14   931.0 0.18 0.0  7.1   0.0  3.0   9.0  
  345.2963 30.1713 -72.69  157.45  866.0 0.92 0.91 2.11  0.0  4.0   10.0 
  345.278  30.1201 -122.71 -28.61  726.0 0.13 0.0  8.91  0.0  3.0   11.0 
  345.2468 30.1482 13.53   5.18    881.0 0.4  0.37 6.75  0.0  1.0   12.0 
  345.2907 30.1138 -168.23 -26.89  819.0 0.18 0.8  3.17  5.0  4.0   13.0 
  345.2512 30.1462 -1.88   6.5     776.0 0.5  0.43 11.89 0.0  1.0   14.0 
  345.2672 30.1335 -68.44  -5.95   766.0 0.08 0.01 2.86  0.0  1.0   15.0 
  345.2204 30.1678 120.53  21.0    951.0 0.1  0.0  15.95 0.0  3.0   16.0 
  345.2688 30.1475 -45.75  39.33   750.0 0.1  0.02 6.0   0.0  2.0   17.0 
  345.2597 30.1493 -18.47  30.07   854.0 0.14 0.17 9.42  0.0  1.0   18.0 
  345.2359 30.1574 59.71   14.98   944.0 0.1  0.01 6.97  0.0  1.0   19.0 
  345.2523 30.1485 -0.59   15.13   769.0 0.31 0.34 21.75 0.0  1.0   20.0 
  345.2431 30.1577 41.54   28.0    908.0 0.15 0.05 10.16 0.0  1.0   21.0 
  345.2659 30.136  -60.33  -0.38   810.0 0.08 0.24 11.0  0.0  1.0   22.0 
  345.275  30.1219 -111.16 -28.28  776.0 0.12 0.0  11.1  0.0  3.0   23.0 
  345.2452 30.1489 18.82   4.57    873.0 0.34 0.54 17.67 0.0  1.0   24.0 
  345.2586 30.1246 -62.95  -47.15  725.0 0.18 0.0  19.7  0.0  3.0   25.0 
  345.2055 30.1231 74.15   -140.04 865.0 0.83 0.68 14.35 0.0  4.0   26.0 
  345.2296 30.1725 105.52  50.72   868.0 0.19 0.26 33.04 0.0  4.0   27.0 
  345.2085 30.1485 115.0   -57.4   918.0 0.15 0.05 38.85 0.0  4.0   28.0 
  345.2628 30.139  -46.38  3.76    768.0 0.1  0.02 19.23 0.0  1.0   29.0 
  345.2465 30.1559 29.1    27.96   943.0 0.17 0.05 10.32 0.0  1.0   30.0 
  345.2555 30.1556 4.72    42.3    910.0 0.17 0.14 13.29 0.0  2.0   31.0 
  345.2553 30.1313 -41.3   -32.24  749.0 0.15 0.03 29.13 0.0  2.0   32.0 
  345.2259 30.1563 84.12   -4.69   969.0 0.07 0.0  19.59 0.0  2.0   33.0 
  345.2238 30.1313 41.57   -84.42  823.0 0.29 0.27 23.43 0.0  4.0   34.0 
  345.2339 30.1566 63.69   9.37    946.0 0.09 0.01 22.92 0.0  1.0   35.0 
  345.2514 30.1598 23.67   48.06   927.0 0.18 0.0  7.1   0.0  3.0   36.0 
  345.2208 30.1456 76.85   -45.93  871.0 0.1  0.09 15.5  0.0  3.0   37.0 
  345.2474 30.1425 0.93    -11.43  837.0 0.35 0.33 6.81  0.0  1.0   38.0 
  345.2532 30.1465 -6.84   10.56   814.0 0.35 0.27 8.8   0.0  1.0   39.0 
  345.2455 30.1456 11.82   -4.85   923.0 0.37 0.09 13.78 0.0  1.0   40.0 
