# col1_1 col2_1    col3_1    col4_1 V      B-V   V-R   col1_2   col2_2  col3_2  col4_2 col5_2 col6_2 col7_2 col8  col9 col10 col11 Separation         
  293    345.2782  30.120028 0      22.603 0.694 0.415 345.278  30.1201 -122.97 -27.49 726.0  0.13   0.0    8.91  0.0  3.0   11.0  0.6745981045228212 
  304    345.27496 30.121918 0      22.208 0.74  0.432 345.275  30.1219 -111.41 -27.27 776.0  0.12   0.0    11.1  0.0  3.0   23.0  0.13948571733955964
  311    345.20544 30.123056 0      22.834 0.759 0.487 345.2055 30.1231 72.88   -140.7 865.0  0.83   0.68   14.35 0.0  4.0   26.0  0.24559495500196385
  317    345.25864 30.12461  0      22.681 0.578 0.457 345.2586 30.1246 -63.38  -46.57 725.0  0.18   0.0    19.7  0.0  3.0   25.0  0.13020569086447958
  328    345.224   30.127611 0      22.362 0.643 0.418 345.2238 30.1277 33.93   -95.73 782.0  0.39   0.66   18.3  0.0  4.0   6.0   0.7016563240154533 
  338    345.25528 30.131306 0      22.145 0.713 0.424 345.2553 30.1313 -41.59  -31.86 749.0  0.15   0.03   29.13 0.0  2.0   32.0  0.06594345518100889
  342    345.22385 30.131332 0      22.506 0.659 0.461 345.2238 30.1313 40.8    -84.8  823.0  0.29   0.27   23.43 0.0  4.0   34.0  0.19372515936090284
  356    345.26593 30.136    0      23.19  0.633 0.5   345.2659 30.136  -60.33  0.16   810.0  0.08   0.24   11.0  0.0  1.0   22.0  0.09340942689863244
  365    345.26285 30.139029 0      22.189 0.708 0.447 345.2628 30.139  -46.34  4.18   768.0  0.1    0.02   19.23 0.0  1.0   29.0  0.18755562669852022
  371    345.25522 30.13975  0      22.532 0.859 0.544 345.255  30.1399 -24.24  -6.29  741.0  0.23   0.02   7.59  0.0  1.0   2.0   0.8726556232609309 
  394    345.24695 30.148111 0      21.994 0.638 0.503 345.2468 30.1482 13.58   5.06   881.0  0.4    0.38   6.75  0.0  1.0   12.0  0.5644413820107131 
  396    345.25232 30.148472 0      23.355 0.616 0.466 345.2523 30.1485 -0.45   15.14  769.0  0.31   0.34   21.75 0.0  1.0   20.0  0.11983604589944341
  400    345.2452  30.14886  0      23.627 0.798 0.535 345.2452 30.1489 18.86   4.4    873.0  0.34   0.55   17.67 0.0  1.0   24.0  0.14068212891270648
  401    345.2085  30.148527 0      23.367 0.652 0.398 345.2085 30.1485 114.47  -58.44 918.0  0.15   0.05   38.85 0.0  4.0   28.0  0.09560698242832834
  434    345.25555 30.15564  0      22.029 0.77  0.488 345.2555 30.1556 5.1     42.25  910.0  0.17   0.14   13.29 0.0  2.0   31.0  0.2130319817278493 
  438    345.24646 30.15589  0      21.799 0.69  0.46  345.2465 30.1559 29.36   27.69  943.0  0.17   0.05   10.32 0.0  1.0   30.0  0.12870126203522939
  443    345.2339  30.15664  0      22.612 0.708 0.481 345.2339 30.1566 63.77   8.79   946.0  0.09   0.01   22.92 0.0  1.0   35.0  0.14057226562039954
  444    345.22592 30.15636  0      22.249 0.804 0.456 345.2259 30.1563 84.07   -5.45  969.0  0.07   0.0    19.59 0.0  2.0   33.0  0.22620759314464495
  447    345.23608 30.15725  0      22.006 0.849 0.525 345.2359 30.1574 59.85   14.44  944.0  0.1    0.01   6.97  0.0  1.0   19.0  0.7784846384003254 
  449    345.24307 30.15775  0      22.097 0.784 0.523 345.2431 30.1577 41.8    27.62  908.0  0.15   0.05   10.16 0.0  1.0   21.0  0.20410848092612158
  482    345.2206  30.167667 0      23.284 0.743 0.55  345.2204 30.1678 120.71  19.91  951.0  0.1    0.0    15.95 0.0  3.0   16.0  0.7873103410430355 
  500    345.22958 30.172556 0      23.192 0.647 0.4   345.2296 30.1725 105.97  49.76  868.0  0.19   0.27   33.04 0.0  4.0   27.0  0.20889209749907092
