1 	  	1	011.435516	+41.698562 	2.19 	0.60 	1.00 	 	B374-G306	-0.01 	 	20.12 	 	19.16 	 	18.77 	 	17.69 	 	17.19 	 	16.59	 	2
2 	  	2	011.366514	+41.701013 	1.86 	0.61 	0.97 	 	M085	-0.04 	 	20.91 	 	20.25 	 	20.01 	 	19.05	>	18.06	>	17.06	 	2
3 	  	3	011.471290	+42.049246 	1.95 	0.88 	1.00 	  	 	-0.14 	 	21.27 	 	20.81 	 	20.67 	 	20.07	>	18.97	>	18.07	 	0
4 	  	4	011.474664	+42.038351 	2.87 	0.98 	1.00 	 	B483-D085	-0.05 	 	20.10 	 	19.10 	 	18.75 	 	17.78 	 	17.29 	 	16.66	 	2
5 	  	5	010.991636	+41.359328 	1.46 	0.40 	1.00 	 	M005	-0.01 	 	20.88 	 	20.29 	 	20.09 	 	19.36 	 	18.73 	 	17.72	 	2
6 	  	6	011.124447	+41.855601 	2.23 	0.74 	1.00	1151 	 	-0.04 	 	19.60 	 	19.32 	 	19.26 	 	18.20 	 	17.05 	 	16.10	 	0
7 	  	7	011.583661	+42.254978 	1.86 	0.72 	1.00	1721 	 	-0.08 	 	20.51 	 	20.29 	 	20.36 	 	19.69 	 	19.36	>	18.62	 	0
8 	  	9	011.363096	+41.729139 	2.87 	1.13 	1.00 	 	B371-G303	-0.09 	 	19.82 	 	18.89 	 	18.48 	 	17.62 	 	17.36	>	16.56	 	2
9 	  	11	011.814123	+42.108991 	1.77 	0.52 	1.00 	  	 	-0.02	>	21.55 	 	20.80 	 	20.45 	 	19.26 	 	18.69 	 	17.95	 	0
10 	  	12	011.456968	+41.657341 	2.26 	0.94 	0.99 	 	M105	-0.11	>	21.95 	 	20.54 	 	19.84 	 	18.44	>	17.88	>	16.92	 	2
11 	  	13	011.439773	+41.764564 	2.49 	0.88 	1.00 	 	B480-V127	-0.06 	 	19.44 	 	18.80 	 	18.49 	 	17.75	>	17.26	>	16.46	 	2
12 	  	14	011.140832	+41.881889 	2.50 	0.83 	0.99	998	hodge10_59	-0.04 	 	19.13 	 	18.88 	 	18.94 	 	18.00	>	17.37	>	16.63	 	0
13 	  	15	011.081982	+41.402477 	2.75 	0.94 	1.00 	 	M025	-0.05 	 	19.52 	 	19.13 	 	19.00 	 	18.88	>	17.67	>	16.87	 	2
14 	  	16	010.939541	+41.149170 	2.06 	0.92 	1.00 	 	KHM31-494	-0.14 	 	20.12 	 	20.02 	 	19.66 	 	17.98 	 	16.86 	 	15.94	 	0
15 	  	17	011.490397	+42.027524 	2.12 	0.81 	1.00 	  	 	-0.08 	 	21.21 	 	20.80 	 	20.31	>	19.45	>	18.46	>	17.44	 	0
16 	  	18	010.871467	+41.576765 	1.97 	0.62 	0.99 	  	 	-0.03 	 	20.35 	 	19.91 	 	19.93 	 	19.59	>	18.17	>	17.25	 	0
17 	  	19	011.945631	+42.101343 	2.00 	1.06 	0.99 	  	 	-0.22 	  	  	  	  	 	20.72 	 	19.16 	  	  	  	 	 	0
18 	  	23	011.279754	+41.429875 	2.30 	0.74 	0.99 	  	 	-0.03 	 	19.84 	 	19.37 	 	19.25 	 	18.80	>	17.57	>	16.29	 	0
19 	  	24	011.331643	+41.808408 	1.60 	0.35 	0.99 	 	M080 	0.00 	 	18.83 	 	18.85 	 	19.58 	 	18.75 	 	17.74 	 	16.84	 	2
20 	  	25	011.648987	+42.326649 	1.95 	0.56 	0.99	1639 	 	-0.02 	 	21.58 	 	20.74 	 	20.49 	 	19.54 	 	18.72 	 	18.09	 	0
21 	  	26	011.450477	+41.959049 	2.02 	0.75 	0.99 	  	 	-0.07 	 	21.64 	 	21.29 	 	20.20 	 	18.52 	 	17.62 	 	16.72	 	0
22 	  	27	011.016225	+41.276218 	2.25 	0.62 	0.99 	  	 	-0.01 	 	17.33 	 	17.50 	 	18.14 	 	16.96 	 	16.18 	 	15.43	 	0
23 	  	28	011.386400	+42.027392 	1.98 	0.52 	0.99 	  	 	-0.01 	 	20.01 	 	19.56 	 	19.28 	 	18.55	>	18.17	>	17.12	 	0
