#from Haliday+2006

1	00 38 43.65	+41 14 11.2	-271.0 	8.2	45.28
2	00 38 46.17	+41 28 19.4	-243.4 	6.0	46.31
3	00 38 48.37	+40 45 31.7	-437.0 	6.0	54.02
4	00 38 49.51	+40 44 25.4	-573.2	11.6	54.48
5	00 38 51.09	+40 42 03.8 	84.6	13.5	55.66
6	00 38 54.40	+40 53 38.5	-111.8 	8.2	48.82
7	00 39 01.10	+41 51 11.5	-219.8 	8.2	54.51
8	00 39 04.49	+40 34 29.7	-527.2 	8.2	58.81
9	00 39 05.31	+40 41 45.8	-384.0 	6.0	53.76
10	00 39 06.23	+40 38 19.3	-319.6	11.6	55.91
11	00 39 07.98	+41 12 25.4	-239.9 	8.2	40.84
12	00 39 10.09	+40 37 27.8	-520.4 	6.0	55.97
13	00 39 11.11	+40 56 58.2	-297.0 	8.2	44.50
14	00 39 13.05	+40 50 07.2	-285.2 	9.9	47.58
15	00 39 17.13	+40 45 13.7	-558.6 	6.0	49.83
16	00 39 22.62	+41 06 57.2	-377.5 	6.0	39.04
17	00 39 22.73	+40 48 44.1	-570.4 	6.0	46.86
18	00 39 23.47	+41 09 38.7	-152.4 	6.0	38.33
19	00 39 24.54	+41 04 32.5	-425.0 	6.0	39.34
20	00 39 25.43	+40 38 25.0	-489.3 	8.2	53.23
21	00 39 26.17	+40 44 26.7	-411.2 	6.0	49.01
22	00 39 26.55	+40 53 37.7	-428.0	11.6	43.54
23	00 39 29.10	+40 52 02.0	-435.3 	6.0	43.99
24	00 39 31.20	+40 51 25.4	-457.5 	6.0	44.00
25	00 39 34.55	+40 49 11.8	-417.0 	6.0	44.79
26	00 39 34.90	+41 23 44.2	-253.4 	6.0	36.36
27	00 39 35.18	+40 55 53.8	-463.8 	6.0	40.98
28	00 39 40.37	+40 47 27.1	-471.5 	6.0	45.02
29	00 39 42.54	+41 02 21.0	-455.7 	6.0	36.89
30	00 39 43.53	+41 03 30.6	-430.7 	6.0	36.30
31	00 39 43.97	+40 35 41.4	-460.7 	8.2	52.88
32	00 39 44.84	+40 33 51.1	-460.4 	9.9	54.20
33	00 39 45.40	+40 31 42.2	-549.5 	8.2	55.84
34	00 39 48.20	+41 08 42.1	-297.6 	6.0	33.95
35	00 39 48.57	+41 10 40.8	-447.7 	6.0	33.50
36	00 39 49.07	+40 42 39.6	-148.1 	8.2	47.06
37	00 39 49.26	+41 24 09.5	-258.5 	6.0	33.82
38	00 39 50.16	+40 40 40.6	-447.1 	6.0	48.36
39	00 39 50.70	+41 30 43.0	-263.8 	6.0	35.68
40	00 39 50.78	+40 55 49.3	-437.3 	6.0	38.49
41	00 39 50.82	+40 53 23.4	-453.9	13.5	39.83
42	00 39 51.25	+41 27 07.1	-480.9 	6.0	34.28
43	00 39 51.38	+41 13 38.3	-369.4 	6.0	32.60
44	00 39 53.97	+40 31 56.5	-469.3 	8.2	54.68
45	00 39 55.06	+40 45 52.0	-505.7 	6.0	44.00
46	00 39 56.60	+41 35 19.0	-227.6 	6.0	36.82
47	00 39 56.90	+41 43 06.7	-315.4 	6.0	41.35
48	00 39 56.98	+41 05 07.7	-317.8 	6.0	33.36
49	00 39 58.26	+40 34 05.0	-553.3 	8.2	52.47
50	00 39 58.85	+41 06 42.3	-442.8 	6.0	32.53
51	00 40 00.55	+41 49 19.3	-212.0 	6.0	45.16
52	00 40 00.83	+40 44 55.5	-490.2 	6.0	43.88
53	00 40 01.86	+40 37 28.2	-561.3 	6.0	49.36
54	00 40 03.09	+40 50 36.5	-567.3 	8.2	39.70
55	00 40 03.40	+41 43 59.9	-194.3 	6.0	41.03
56	00 40 05.18	+40 42 16.0	-481.0 	6.0	45.27
57	00 40 08.03	+40 32 11.9	-331.9 	6.0	52.94
58	00 40 08.88	+41 40 43.8	-240.5 	6.0	38.11
59	00 40 10.48	+41 49 18.8	-177.3 	6.0	43.92
60	00 40 10.60	+41 21 23.7	-220.7 	6.0	29.34
61	00 40 10.82	+40 54 38.6	-531.5 	6.0	36.04
62	00 40 11.29	+40 54 55.0	-435.3 	6.0	35.80
63	00 40 13.57	+41 38 41.9	-229.2 	6.0	36.15
64	00 40 13.73	+40 35 41.7	-562.0 	6.0	49.44
65	00 40 14.54	+40 38 50.3	-535.8 	6.0	46.81
66	00 40 14.56	+41 37 42.1	-230.6 	6.0	35.39
67	00 40 15.60	+40 58 29.7	-542.7 	6.0	33.10
68	00 40 15.82	+41 28 22.8	-317.4 	6.0	30.43
69	00 40 16.68	+41 17 30.3	-354.6 	8.2	27.77
70	00 40 16.73	+41 04 28.7	-360.2 	6.0	30.12
71	00 40 17.22	+40 59 45.8	-561.2 	6.0	32.18
72	00 40 17.50	+41 45 59.0	-217.1 	6.0	40.57
73	00 40 18.46	+40 52 00.9	-564.3 	6.0	36.58
74	00 40 20.35	+41 38 17.4	-227.2 	6.0	34.90
75	00 40 21.54	+41 42 26.2	-282.6 	6.0	37.50
76	00 40 21.81	+41 10 04.5	-246.0 	6.0	27.48
77	00 40 22.11	+40 48 49.8	-410.2 	6.0	38.27
78	00 40 23.50	+40 44 00.6	-600.4 	6.0	41.69
79	00 40 24.70	+40 58 02.9	-363.3 	6.0	31.92
80	00 40 24.94	+40 47 17.6	-423.7 	6.0	39.03
81	00 40 25.53	+41 40 06.8	-227.5 	6.0	35.36
82	00 40 25.74	+40 51 45.4	-414.0 	6.0	35.73
83	00 40 25.74	+40 37 06.1	-526.8 	6.0	47.00
