 02 08 01.60  10 58 52.4    1670    21  28.8   
 02 08 05.50  10 58 45.2    1703    21  28.1   
 02 08 06.70  11 02 03.4    1742    20  27.7   
 02 08 10.40  11 00 00.4    1725    21  28.6   
 02 08 13.00  10 58 22.4    1823    22  29.7   
 02 08 14.00  10 57 13.7    1781    21  28.7   
 02 08 15.80  10 59 22.3    1669    21  28.3   
 02 08 16.10  10 59 20.0    1832    21  28.3   
 02 08 16.20  10 56 31.0    1629    21  28.7   
 02 08 16.40  11 00 17.5    1681    21  28.8   
 02 08 16.50  10 57 38.9    1689    21  29.8   
 02 08 16.50  10 59 13.8    1603    22  28.2   
 02 08 16.80  10 57 36.8    1827    23  29.0   
 02 08 17.20  11 00 34.8    1620    21  28.1   
 02 08 17.30  10 58 58.8    1890    21  28.5   
 02 08 17.40  10 59 59.3    1616    21  28.5   
 02 08 17.60  10 59 02.4    1588    23  29.0   
 02 08 17.60  10 58 41.1    1561    21  28.6   
 02 08 17.60  10 59 38.6    1592    20  30.9   
 02 08 17.80  10 59 45.6    1340    21  28.8   
 02 08 17.90  10 59 51.6    1847    21  28.2   
 02 08 17.90  10 59 35.1    1722    21  29.2   
 02 08 18.00  10 57 30.6    1845    21  28.9   
 02 08 18.10  10 59 19.5    1783    21  28.8   
 02 08 18.20  10 59 34.0    1681    21  30.5   
 02 08 18.30  11 04 56.6    1645    21  28.7   
 02 08 18.30  10 59 42.4    1631    21  28.2   
 02 08 18.40  10 57 48.6    1638    20  28.2   
 02 08 18.50  10 59 29.2    1505    21  29.0   
 02 08 18.60  10 59 50.2    1892    20  28.3   
 02 08 18.60  10 59 30.3    1717    21  31.0   
 02 08 18.80  10 59 16.2    1511    22  28.0   
 02 08 18.80  11 02 52.9    1826    21  28.1   
 02 08 19.00  10 59 26.9    1734    21  28.4   
 02 08 19.10  10 58 01.3    1665    23  29.2   
 02 08 19.10  11 01 22.1    1615    22  28.1   
 02 08 19.20  10 58 16.0    1892    21  28.4   
 02 08 19.30  10 59 45.6    1807    20  28.7   
 02 08 19.30  10 59 48.7    1620    21  31.4   
 02 08 19.50  10 59 37.7    1834    20  29.3   
 02 08 19.50  10 59 13.4    1610    20  29.0   
 02 08 19.60  10 59 53.4    1877    21  29.3   
 02 08 19.80  10 58 59.9    1535    21  29.1   
 02 08 19.80  10 58 32.4    1357    21  28.3   
