#  Table 0821.tab  Fri 14:21:19 11-Dec-2015

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00       963.          0     INDEF     INDEF  INDEF         0   INDEF
    2    0.52       944.      0.927      4.73      3.34 0.5922    0.0618    1.08
    3    0.57       943.       1.04      5.29      3.74 0.6003    0.0634    1.50
    4    0.63       941.       1.17      5.96      4.21 0.6074    0.0559    2.72
    5    0.69       932.       1.01      5.14      3.63 0.4523    0.0400    4.43
    6    0.76       921.       1.14      5.81      4.11 0.2756    0.0478    8.82
    7    0.84       911.       1.17      5.99      4.24 0.1712    0.0430   16.41
    8    0.92       901.       1.24      6.31      4.46 0.1035    0.0368   30.28
    9    1.02       890.       1.01      5.15      3.64 0.1029    0.0259   38.46
   10    1.12       878.       1.01      5.14      3.63 0.1014    0.0238   41.13
   11    1.23       866.       1.29      6.59      4.66 0.1035    0.0266   42.90
   12    1.35       852.        1.4      7.15      5.06 0.1104    0.0248   41.54
   13    1.49       836.       1.51      7.69      5.44 0.1188    0.0242   38.61
   14    1.64       818.       1.56      7.97      5.63 0.1228    0.0221   37.00
   15    1.80       798.       1.38      7.03      4.97 0.1332    0.0177   36.76
   16    1.98       777.       1.09      5.55      3.92 0.1438    0.0134   34.80
   17    2.18       758.      0.503      2.56      1.81 0.1652    0.0054   30.31
   18    2.39       729.      0.705      3.73      2.64 0.1554    0.0079   32.04
   19    2.63       705.      0.577      3.16      2.23 0.1676    0.0064   31.79
   20    2.90       682.      0.553      3.23      2.28 0.1793    0.0057   31.74
   21    3.19       659.      0.623      3.74      2.64 0.1941    0.0067   30.72
   22    3.50       637.      0.446      2.82        2. 0.2059    0.0051   31.55
   23    3.86       617.       0.42      2.79      1.97 0.2190    0.0051   31.82
   24    4.24       600.      0.353      2.39      1.69 0.2387    0.0046   31.86
   25    4.67       583.      0.352      2.49      1.76 0.2550    0.0051   31.40
   26    5.13       570.      0.333      2.49      1.76 0.2734    0.0052   31.46
   27    5.64       558.      0.287      2.22      1.57 0.2913    0.0050   31.15
   28    6.21       547.      0.268      2.14      1.52 0.3066    0.0053   31.12
   29    6.83       538.      0.225      1.88      1.33 0.3217    0.0051   30.90
   30    7.51       529.      0.195       1.7       1.2 0.3345    0.0048   30.49
   31    8.26       522.      0.158      1.44      1.02 0.3438    0.0044   30.13
   32    9.09       515.      0.142      1.36     0.965 0.3448    0.0047   30.16
   33   10.00       509.      0.131      1.31     0.925 0.3451    0.0050   30.66
   34   11.00       505.      0.118      1.24     0.877 0.3505    0.0051   31.25
   35   12.10       501.      0.113      1.23     0.873 0.3577    0.0054   31.82
   36   13.31       497.      0.112      1.28     0.906 0.3682    0.0064   32.22
   37   14.64       494.      0.108      1.29      0.91 0.3785    0.0073   32.15
   38   16.11       492.      0.113      1.41     0.995 0.3874    0.0083   31.65
   39   17.72       489.      0.101      1.32     0.932 0.3835    0.0099   30.56
   40   19.49       488.     0.0859      1.17     0.829 0.4041    0.0073   29.75
   41   21.44       486.     0.0871      1.24      0.88 0.3985    0.0081   31.45
   42   23.58       484.     0.0815      1.23     0.871 0.3873    0.0102   33.27
   43   25.94       483.      0.077      1.21     0.858 0.3925    0.0112   31.82
   44   28.53       482.     0.0762      1.25     0.885 0.4040    0.0110   30.51
   45   31.38       480.     0.0954      1.66      1.17 0.3881    0.0163   28.58
   46   34.52       479.     0.0651      1.22     0.864 0.3247    0.0215   32.37
   47   37.97       478.     0.0652      1.25     0.882 0.3867    0.0125   35.10
   48   41.77       478.     0.0638      1.29      0.91 0.3775    0.0157   26.66
   49   45.95       477.     0.0669      1.42        1. 0.3775    0.0284   31.03
   50   50.54       477.     0.0551      1.27       0.9 0.2780    0.0585   20.09
