01 032.103940 +10.913226 1902 	24.031 22.990
02 032.075650 +10.933620 1645 	23.080 22.418
03 032.082270 +10.949268 1748 	23.497 22.836
04 032.071679 +10.954449 1534 	23.766 22.852
05 032.068885 +10.955774 1665 	23.675 22.375
06 032.015688 +10.956279 1803 	24.167 23.390
07 032.112939 +10.958524 1628 	23.195 22.233
08 032.159607 +10.960603 1795 	23.661 22.886
09 032.073640 +10.961667 1592 	22.545 21.488
10 032.102752 +10.961918 1728 	22.711 21.445
11 032.079706 +10.963660 1785 	23.544 22.323
12 032.129169 +10.965797 1677 	23.957 22.588
13 032.045327 +10.966534 1738 	23.219 22.217
14 032.110314 +10.969044 1785 	23.228 22.174
15 032.050641 +10.969076 1833 	21.763 20.707
16 032.073135 +10.971697 1723 	23.336 22.619
17 032.101372 +10.975350 2015 	22.516 21.674
18 032.087529 +10.976055 1675 	24.244 22.589
19 032.100074 +10.979469 1765 	22.083 21.273
20 032.060981 +10.980574 1925 	23.319 22.248
21 032.086128 +10.982070 1480 	21.180 20.002
22 032.092631 +10.982522 1635 	23.627 22.488
23 032.054852 +10.982508 1867 	22.422 20.898
24 032.058179 +10.982843 1795 	22.384 21.235
25 032.095624 +10.984995 2066 	22.997 21.951
26 032.107012 +10.984967 1883 	22.921 22.324
27 032.093112 +10.987475 1838 	22.589 21.625
28 032.086091 +10.990721 1705 	20.057 19.458
29 032.070119 +10.990345 2028 	23.227 22.181
30 032.100385 +10.990799 1592 	22.859 21.624
31 032.103608 +10.991370 1559 	22.906 22.117
32 032.078744 +10.991353 1639 	22.256 21.395
33 032.082611 +10.992151 1520 	21.240 20.328
34 032.072959 +10.994271 1633 	22.085 21.191
35 032.040183 +10.995122 1921 	23.600 22.477
36 032.117973 +10.995794 1691 	23.373 22.565
37 032.106454 +10.995846 1496 	23.520 22.194
38 032.138040 +10.996088 1843 	23.527 22.625
39 032.097021 +10.997448 2091 	21.246 20.252
40 032.105749 +10.998190 1940 	21.459 20.438
41 032.127605 +11.002715 1818 	23.794 23.136
42 032.102604 +11.004729 1498 	22.451 21.487
43 032.140598 +11.006166 1947 	23.660 22.774
44 032.111207 +11.006682 1884 	23.790 22.783
45 032.106289 +11.010496 1882 	22.336 21.390
46 032.168453 +11.012099 1686 	23.162 22.033
47 032.138218 +11.012697 1648 	23.420 22.283
48 032.144063 +11.039267 1786 	22.172 21.348
49 032.103624 +11.052164 1872 	23.149 22.162
50 032.065940 +11.072019 1806 	23.876 22.844
51 032.077445 +11.023611 1303 	22.775 21.839
52 032.100454 +11.014905 1860 	23.270 22.018
53 032.105483 +10.991466 1915 	23.453 22.277
54 032.010312 +10.973097 1705 	23.428 22.508
55 032.095029 +10.988344 1749 	23.623 22.761
56 032.076662 +10.963391 1753 	24.287 23.286
57 032.070637 +10.973575 1650 	24.643 23.336
58 032.117104 +11.004969 1782 	24.346 23.525
