1	NGC2768_GC1	137.799716	+60.014624	22.475 	0.034	21.883 	0.037
2	NGC2768_GC2	137.846768	+60.040208	20.772 	0.013	20.336 	0.013
3	NGC2768_GC3	137.949797	+60.012023	22.546 	0.038	22.186 	0.049
4	NGC2768_GC4	137.867672	+59.982954	23.029 	0.048	22.778 	0.070
5	NGC2768_GC5	137.829517	+60.033060	23.047 	0.054	22.361 	0.052
6	NGC2768_GC6	137.847328	+60.066354	22.273 	0.035	21.825 	0.040
7	NGC2768_GC7	137.793094	+60.031419	21.812 	0.024	21.202 	0.025
8	NGC2768_GC8	137.698429	+60.049859	22.519 	0.041	22.050 	0.041
9	NGC2768_GC9	137.988097	+60.043216	22.132 	0.030	21.463 	0.033
10	NGC2768_GC10	137.760775	+60.001069	22.513 	0.040	21.932 	0.046
11	NGC2768_GC11	137.912109	+59.987110	22.048 	0.031	21.694 	0.031
12	NGC2768_GC12	137.903214	+60.071148	19.909 	0.008	19.269 	0.007
13	NGC2768_GC13	138.019203	+60.103998	23.086 	0.059	22.791 	0.081
14	NGC2768_GC14	137.976241	+60.067069	23.350 	0.068	22.465 	0.067
15	NGC2768_GC15	137.962570	+60.048748	21.381 	0.019	20.813 	0.021
16	NGC2768_GC16	137.961582	+60.044188	23.308 	0.066	22.389 	0.066
17	NGC2768_GC17	137.954410	+60.062911	23.446 	0.076	22.919 	0.078
18	NGC2768_GC18	137.954400	+60.101469	23.240 	0.070	22.746 	0.080
19	NGC2768_GC19	137.782920	+60.027580	22.044 	0.027	21.557 	0.033
20	NGC2768_GC20	137.774552	+59.997801	22.153 	0.031	21.539 	0.031
21	NGC2768_GC21	137.920906	+60.026537	22.273 	0.032	21.643 	0.033
22	NGC2768_GC22	137.877984	+60.024657	22.996 	0.060	22.545 	0.073
23	NGC2768_GC23	137.845147	+60.024817	22.028 	0.029	21.626 	0.033
24	NGC2768_GC24	137.830507	+60.028445	22.967 	0.058	22.169 	0.062
25	NGC2768_GC25	137.872690	+60.035393	22.599 	0.050	22.117 	0.052
26	NGC2768_GC26	138.030397	+59.960320	21.428 	0.020	20.892 	0.020
27	NGC2768_GC27	137.989398	+59.966563	22.331 	0.033	21.915 	0.038
28	NGC2768_GC28	137.955215	+60.025347	21.495 	0.020	21.059 	0.021
29	NGC2768_GC29	137.888544	+60.059867	21.917 	0.025	21.291 	0.026
30	NGC2768_GC30	137.797775	+60.092672	22.137 	0.029	21.493 	0.031
31	NGC2768_GC31	137.711284	+60.075844	21.276 	0.017	20.669 	0.017
32	NGC2768_GC32	137.908718	+60.014211	22.476 	0.036	21.975 	0.038
33	NGC2768_GC33	137.929695	+60.016261	23.554 	0.079	22.533 	0.073
34	NGC2768_GC34	137.899711	+60.018904	21.760 	0.023	21.029 	0.023
35	NGC2768_GC35	137.869161	+60.036559	22.418 	0.035	22.089 	0.042
36	NGC2768_GC36	137.848195	+60.039838	22.993 	0.065	22.609 	0.071
37	NGC2768_GC37	137.846832	+60.050339	23.137 	0.059	22.783 	0.080
38	NGC2768_GC38	137.971573	+60.059211	21.592 	0.021	20.941 	0.019
39	NGC2768_GC39	137.946890	+60.052176	22.454 	0.035	21.825 	0.045
40	NGC2768_GC40	137.776185	+60.045541	22.389 	0.033	21.832 	0.039
41	NGC2768_GC41	137.754421	+60.040519	23.277 	0.066	22.631 	0.066
42	NGC2768_GC42	137.600796	+60.031093	22.052 	0.029	21.533 	0.034
43	NGC2768_GC43	137.865360	+60.022791	23.043 	0.058	22.275 	0.062
44	NGC2768_GC44	137.861788	+60.042644	22.474 	0.041	22.152 	0.052
45	NGC2768_GC45	137.914928	+60.049559	22.414 	0.039	21.842 	0.042
46	NGC2768_GC46	137.916077	+60.049566	22.272 	0.031	21.653 	0.039
47	NGC2768_GC47	137.907468	+60.049524	22.529 	0.043	21.997 	0.048
48	NGC2768_GC48	137.857825	+60.054655	22.844 	0.046	22.562 	0.062
49	NGC2768_GC49	137.876524	+60.044881	22.729 	0.049	23.170 	0.099
50	NGC2768_GC50	137.905890	+60.025793	22.224 	0.036	21.538 	0.032
51	NGC2768_GC51	137.830289	+60.051231	22.846 	0.051	22.303 	0.049
52	NGC2768_GC52	137.852392	+59.999000	23.131 	0.052	22.437 	0.049
53	NGC2768_GC53	138.043997	+60.027718	22.813 	0.046	22.444 	0.063
54	NGC2768_GC54	138.011260	+59.992037	23.160 	0.056	22.429 	0.068
55	NGC2768_GC55	137.998951	+60.017893	23.746 	0.088	23.231 	0.095
56	NGC2768_GC56	137.991348	+60.031798	22.370 	0.037	21.995 	0.043
57	NGC2768_GC57	137.985212	+60.046889	22.788 	0.043	22.048 	0.049
58	NGC2768_GC58	137.972327	+60.036149	23.304 	0.065	22.495 	0.071
59	NGC2768_GC59	137.961346	+60.035490	23.291 	0.073	22.650 	0.073
60	NGC2768_GC60	137.955611	+60.027491	23.028 	0.049	22.556 	0.056
61	NGC2768_GC61	137.952240	+60.034799	22.852 	0.045	22.169 	0.048
62	NGC2768_GC62	137.943758	+60.031238	21.815 	0.024	21.193 	0.026
63	NGC2768_GC63	137.937009	+60.038727	22.148 	0.028	21.537 	0.031
64	NGC2768_GC64	137.821110	+60.054136	22.916 	0.050	22.265 	0.054
65	NGC2768_GC65	137.809624	+60.038581	23.117 	0.053	22.174 	0.055
66	NGC2768_GC66	137.796915	+60.033663	23.146 	0.062	22.549 	0.068
67	NGC2768_GC67	137.757566	+60.010730	22.836 	0.044	22.480 	0.057
68	NGC2768_GC68	137.752815	+60.029596	23.245 	0.068	22.560 	0.070
69	NGC2768_GC69	137.784929	+60.048725	21.408 	0.019	21.005 	0.021
70	NGC2768_GC70	137.883200	+60.027401	22.708 	0.042	22.066 	0.043
71	NGC2768_GC71	137.868627	+60.047627	22.164 	0.032	21.693 	0.035
72	NGC2768_GC72	137.911255	+60.049280	22.046 	0.028	21.264 	0.029
73	NGC2768_GC73	137.885949	+60.053191	21.822 	0.024	21.320 	0.030
74	NGC2768_GC74	137.888658	+60.021732	22.232 	0.033	21.877 	0.040
75	NGC2768_GC75	137.876428	+60.019745	21.358 	0.018	20.764 	0.017
76	NGC2768_GC76	137.870165	+60.032833	23.336 	0.069	22.637 	0.077
77	NGC2768_GC77	137.951551	+60.056144	22.252 	0.035	21.902 	0.045
78	NGC2768_GC78	137.945759	+60.058894	22.832 	0.051	22.133 	0.058
79	NGC2768_GC79	137.926632	+60.167281	22.669 	0.043	22.124 	0.046
80	NGC2768_GC80	137.922279	+59.999791	22.471 	0.042	21.688 	0.040
81	NGC2768_GC81	137.868186	+59.991617	22.684 	0.042	22.119 	0.052
82	NGC2768_GC82	137.855634	+59.971655	22.703 	0.040	22.227 	0.055
83	NGC2768_GC83	137.853143	+59.993789	22.557 	0.037	22.256 	0.052
84	NGC2768_GC84	137.845950	+59.996357	22.403 	0.035	21.777 	0.039
85	NGC2768_GC85	137.897871	+60.041278	22.662 	0.021	22.056 	0.011
86	NGC2768_GC86	137.893408	+60.041106	21.806 	0.030	20.690 	0.010
87	NGC2768_GC87	137.907150	+60.044614	22.836 	0.050	22.410 	0.021
88	NGC2768_GC88	137.923850	+60.030561	22.656 	0.012	21.990 	0.046
89	NGC2768_GC89	137.902313	+60.030400	22.043 	0.021	21.477 	0.025
90	NGC2768_GC90	137.913842	+60.032808	22.339 	0.042	21.383 	0.031
91	NGC2768_GC91	137.887163	+60.038489	22.525 	0.014	21.589 	0.033
92	NGC2768_GC92	137.910838	+60.030972	22.019 	0.009	21.513 	0.040
93	NGC2768_GC93	137.886671	+60.030369	23.056 	0.030	21.890 	0.010
94	NGC2768_GC94	137.894250	+60.032056	23.817 	0.034	23.311 	0.011
95	NGC2768_GC95	137.896667	+60.038014	20.949 	0.022	20.083 	0.031
96	NGC2768_GC96	137.911892	+60.035408	21.922 	0.019	21.306 	0.070
