#  Table 3115.tab  Fri 16:12:25 15-Jan-2016

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00      2342.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
    2    0.52      2287.       2.11      10.7      7.59 0.3832    0.0545   75.61
    3    0.57      2286.       2.23      11.4      8.05 0.4057    0.0517   75.18
    4    0.63      2283.       1.95      9.92      7.01 0.4224    0.0334   71.11
    5    0.69      2275.       3.89      19.8       14. 0.3385    0.0590   56.32
    6    0.76      2256.       4.94      25.2      17.8 0.2691    0.0628   43.50
    7    0.84      2226.       6.47       33.      23.3 0.2111    0.0633   42.19
    8    0.92      2199.       6.59      33.6      23.8 0.2098    0.0549   41.73
    9    1.02      2167.       5.97      30.4      21.5 0.2106    0.0442   41.43
   10    1.12      2129.        5.2      26.5      18.7 0.2067    0.0353   41.80
   11    1.23      2090.       4.72      24.1       17. 0.2091    0.0288   42.12
   12    1.35      2049.       4.44      22.6       16. 0.2211    0.0246   42.35
   13    1.49      2007.       4.52       23.      16.3 0.2345    0.0215   41.88
   14    1.64      1959.       4.37      22.3      15.7 0.2490    0.0182   42.74
   15    1.80      1906.       4.46      22.7      16.1 0.2636    0.0167   43.78
   16    1.98      1847.       4.51       23.      16.3 0.2761    0.0142   44.21
   17    2.18      1772.       3.06      15.6       11. 0.2808    0.0096   44.52
   18    2.39      1697.       1.57      8.29      5.87 0.2878    0.0044   44.93
   19    2.63      1622.       2.41      12.7      9.01 0.2997    0.0067   46.32
   20    2.90      1545.       2.65      14.5      10.3 0.3086    0.0068   46.07
   21    3.19      1464.       1.89       11.      7.79 0.3206    0.0046   46.81
   22    3.50      1386.       1.46      8.79      6.21 0.3341    0.0035   47.03
   23    3.86      1304.       1.69      10.7      7.58 0.3442    0.0040   46.45
   24    4.24      1225.       1.83      11.8      8.38 0.3542    0.0048   46.27
   25    4.67      1160.       1.48       10.       7.1 0.3718    0.0039   46.57
   26    5.13      1102.       1.45      10.2      7.24 0.3917    0.0039   46.32
   27    5.64      1043.       1.67      12.3      8.67 0.4072    0.0050   45.98
   28    6.21       995.       1.75      13.3      9.42 0.4264    0.0055   46.06
   29    6.83       952.       1.71      13.5      9.53 0.4456    0.0059   45.77
   30    7.51       914.       1.75      14.4      10.2 0.4644    0.0063   45.77
   31    8.26       880.        1.8      15.3      10.8 0.4841    0.0069   45.47
   32    9.09       848.       1.82       16.      11.3 0.4990    0.0075   45.47
   33   10.00       819.       1.85       17.       12. 0.5141    0.0084   45.29
   34   11.00       794.       1.89      18.2      12.8 0.5298    0.0088   45.13
   35   12.10       771.       1.88      18.6      13.2 0.5449    0.0097   44.97
   36   13.31       750.        1.9      19.6      13.8 0.5558    0.0109   44.84
   37   14.64       732.       1.97      21.2       15. 0.5689    0.0113   44.84
   38   16.11       714.       1.82      20.3      14.3 0.5794    0.0116   44.62
   39   17.72       698.       1.73      20.2      14.3 0.5883    0.0109   44.55
   40   19.49       679.       1.43      17.6      12.4 0.5874    0.0104   44.60
   41   21.44       663.       1.12      14.4      10.2 0.5859    0.0101   44.60
   42   23.58       649.      0.924      12.4      8.77 0.5863    0.0099   44.60
   43   25.94       638.      0.794      11.2       7.9 0.5895    0.0093   44.75
   44   28.53       629.      0.632      9.29      6.57 0.5932    0.0085   44.70
   45   31.38       621.      0.527      8.06       5.7 0.6019    0.0082   44.46
   46   34.52       615.      0.415      6.62      4.68 0.6114    0.0071   44.36
   47   37.97       610.      0.326      5.39      3.81 0.6225    0.0066   44.48
   48   41.77       605.      0.286      4.93      3.48 0.6339    0.0060   44.39
   49   45.95       601.      0.203      3.66      2.59 0.6384    0.0053   44.57
   50   50.54       597.      0.169      3.17      2.24 0.6438    0.0050   44.51
