# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00     22005.        0.0     INDEF     INDEF  INDEF     INDEF   INDEF
    2    0.52     21700.       30.8      157.      111. 0.2000     INDEF   20.00
    3    0.57     21678.       31.8      162.      115. 0.2000     INDEF   20.00
    4    0.63     21654.       32.9      168.      119. 0.2000     INDEF   20.00
    5    0.69     21628.       34.4      175.      124. 0.2000     INDEF   20.00
    6    0.76     21600.       36.2      184.      130. 0.2000     INDEF   20.00
    7    0.84     21572.       38.5      196.      139. 0.2000     INDEF   20.00
    8    0.92     21542.       41.5      212.      150. 0.2000     INDEF   20.00
    9    1.02     21513.        45.      230.      162. 0.2000     INDEF   20.00
   10    1.12     21494.       46.7      238.      168. 0.2000     INDEF   20.00
   11    1.23     21474.       46.1      235.      166. 0.2000     INDEF   20.00
   12    1.35     21454.       46.7      238.      168. 0.2000     INDEF   20.00
   13    1.49     21435.       48.6      248.      175. 0.2000     INDEF   20.00
   14    1.64     21414.        51.      260.      184. 0.2000     INDEF   20.00
   15    1.80     21392.       54.9      280.      198. 0.2000     INDEF   20.00
   16    1.98     21366.       57.9      295.      209. 0.2000     INDEF   20.00
   17    2.18     21349.       63.4      323.      229. 0.2000     INDEF   20.00
   18    2.39     21345.       65.5      347.      245. 0.2000     INDEF   20.00
   19    2.63     21345.       64.6      354.      250. 0.2000     INDEF   20.00
   20    2.90     21358.       64.3      375.      265. 0.2000     INDEF   20.00
   21    3.19     21373.       57.6      346.      244. 0.2000     INDEF   20.00
   22    3.50     21385.       52.1      329.      233. 0.2000     INDEF   20.00
   23    3.86     21404.       45.2      300.      212. 0.2000     INDEF   20.00
   24    4.24     21421.       47.6      330.      233. 0.2000     INDEF   20.00
   25    4.67     21451.       58.6      422.      299. 0.2000     INDEF   20.00
   26    5.13     21481.       61.2      466.      329. 0.2000     INDEF   20.00
   27    5.64     21498.       52.5      420.      297. 0.2000     INDEF   20.00
   28    6.21     21518.       50.6      423.      299. 0.2000     INDEF   20.00
   29    6.83     21549.       43.6      380.      269. 0.2000     INDEF   20.00
   30    7.51     21543.       38.3      351.      248. 0.2000     INDEF   20.00
   31    8.26     21505.       35.4      339.      240. 0.2000     INDEF   20.00
   32    9.09     21435.       30.8      311.      220. 0.2000    0.1358   20.00
   33   10.00     21387.       29.5      312.      221. 0.2000     INDEF   20.00
   34   11.00     21362.       30.7      342.      242. 0.2000     INDEF   20.00
