#  Table ellipse_skysub.fits[1]  Wed 15:43:31 26-Oct-2016

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00     16120.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
    2    0.50     16192.       10.8      54.9      38.8 0.7299     INDEF   40.26
    3    0.56     16197.        11.      56.2      39.7 0.7299     INDEF   40.26
    4    0.61     16201.       11.4      58.1      41.1 0.7299     INDEF   40.26
    5    0.67     16207.        12.      61.3      43.3 0.7299     INDEF   40.26
    6    0.74     16213.       12.8       65.       46. 0.7299     INDEF   40.26
    7    0.81     16220.       13.7       70.      49.5 0.7299     INDEF   40.26
    8    0.89     16228.       15.8      80.7       57. 0.7299     INDEF   40.26
    9    0.98     16239.       19.2      98.1      69.3 0.7299     INDEF   40.26
   10    1.08     16252.        23.      117.       83. 0.7299     INDEF   40.26
   11    1.19     16265.       27.4      140.      98.7 0.7299     INDEF   40.26
   12    1.31     16278.       32.5      165.      117. 0.7299     INDEF   40.26
   13    1.44     16291.       38.3      195.      138. 0.7299     INDEF   40.26
   14    1.58     16303.       42.2      215.      152. 0.7299     INDEF   40.26
   15    1.74     16313.       45.9      234.      165. 0.7299     INDEF   40.26
   16    1.92     16330.       46.8      239.      169. 0.7299     INDEF   40.26
   17    2.11     16356.       48.8      249.      176. 0.7299     INDEF   40.26
   18    2.32     16380.       47.2      241.      170. 0.7299     INDEF   40.26
   19    2.55     16394.       41.4      211.      149. 0.7299     INDEF   40.26
   20    2.81     16403.       35.2      179.      127. 0.7299     INDEF   40.26
   21    3.09     16397.       31.1      164.      116. 0.7299     INDEF   40.26
   22    3.39     16408.       36.2      192.      136. 0.7299     INDEF   40.26
   23    3.73     16461.       39.7      210.      149. 0.7299     INDEF   40.26
   24    4.11     16439.       49.5      271.      192. 0.7299     INDEF   40.26
   25    4.52     16423.       41.3      234.      165. 0.7299     INDEF   40.26
   26    4.97     16367.       70.2      397.      281. 0.7299     INDEF   40.26
   27    5.47     16386.       64.1      374.      264. 0.7299     INDEF   40.26
   28    6.01     16312.       54.2      334.      236. 0.7299     INDEF   40.26
   29    6.62     16267.        48.      304.      215. 0.7299     INDEF   40.26
   30    7.28     16193.        58.      376.      266. 0.7299     INDEF   40.26
   31    8.00     16180.       46.5      322.      228. 0.7299     INDEF   40.26
   32    8.80     16246.       47.9      345.      244. 0.7299     INDEF   40.26
   33    9.69     16285.       54.4      407.      288. 0.7299     INDEF   40.26
   34   10.65     16265.       42.5      334.      236. 0.7299     INDEF   40.26
   35   11.72     16262.        42.      346.      245. 0.7299     INDEF   40.26
   36   12.89     16316.       42.4      370.      262. 0.7299     INDEF   40.26
   37   14.18     16328.       41.8      383.      271. 0.7299     INDEF   40.26
   38   15.60     16319.       33.6      323.      228. 0.7299     INDEF   40.26
   39   17.16     16381.       27.4      274.      194. 0.7299     INDEF   40.26
   40   18.87     16343.       29.7      312.      220. 0.7299     INDEF   40.26
   41   20.76     16342.       32.3      357.      252. 0.7299     INDEF   40.26
   42   22.84     16328.       29.6      342.      242. 0.7299     INDEF   40.26
   43   25.12     16315.        33.      399.      282. 0.7299    0.3129   40.26
   44   27.63     16352.       25.2      303.      214. 0.7711    0.0200   55.30
   45   30.40     16306.       21.4      332.      235. 0.5647    0.0412   48.31
   46   33.44     16280.       22.8      370.      262. 0.5647    0.0308   43.96
   47   36.78     16228.        21.      358.      253. 0.5647    0.0265   39.86
   48   40.46     16167.       20.3      363.      257. 0.5690    0.0226   43.33
   49   44.50     16140.       18.7      341.      241. 0.6052    0.0151   44.67
   50   48.95     16116.       17.6      324.      229. 0.6461    0.0090   46.91
   51   53.85     16013.       16.7      322.      228. 0.6461    0.0060   44.05
   52   59.23     15805.       18.5      370.      262. 0.6626    0.0055   44.05
   53   65.16     15503.       20.6      435.      307. 0.6585    0.0041   44.23
   54   71.67     15061.       22.3      492.      348. 0.6605    0.0029   44.33
   55   78.84     14371.       25.6      592.      419. 0.6610    0.0025   44.90
   56   86.72     13455.       25.9      629.      445. 0.6599    0.0021   44.57
   57   95.40     12105.       24.9      638.      451. 0.6505    0.0017   43.97
   58  104.94     10715.       23.1      620.      439. 0.6514    0.0015   44.26
   59  115.43      8904.       26.3      752.      532. 0.6368    0.0017   44.26
   60  126.97      7337.       23.4      701.      496. 0.6364    0.0019   44.51
   61  139.67      5898.       51.6     1635.     1156. 0.6276    0.0038   43.43
   62  153.64      4459.        22.      738.      522. 0.6180    0.0022   44.03
   63  169.00      3132.       17.5      622.      439. 0.6002    0.0026   43.78
   64  185.90      2256.       14.1      532.      376. 0.5890    0.0031   43.78
   65  204.49      1712.       33.8     1333.      943. 0.5890    0.0088   43.78
   66  224.94      1135.       15.6      652.      461. 0.5733    0.0049   43.78
   67  247.43       619.       14.9      672.      475. 0.5335    0.0081   43.54
   68  272.18       371.       11.7      554.      392. 0.5335    0.0105   43.54
   69  299.39       203.       15.8      785.      555. 0.5335    0.0146   37.28
   70  329.33       65.6        12.      627.      443. 0.5335    0.0118   40.85
   71  362.27      -22.8       23.1     1349.      954. 0.4109    0.0191   22.54
   72  398.49      -137.       14.3      859.      607. 0.4553    0.0357   34.06
   73  438.34      -195.       14.1      908.      642. 0.4015    0.0225   34.06

# row  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR
#     degrees   pixel  pixel   pixel  pixel                             

    1   INDEF  677.20  INDEF  673.66  INDEF     144.    INDEF      INDEF
    2   INDEF  677.20  INDEF  673.66  INDEF    -0.37    INDEF      INDEF
    3   INDEF  677.20  INDEF  673.66  INDEF   -0.462    INDEF      INDEF
    4   INDEF  677.20  INDEF  673.66  INDEF   -0.578    INDEF      INDEF
    5   INDEF  677.20  INDEF  673.66  INDEF   -0.722    INDEF      INDEF
    6   INDEF  677.20  INDEF  673.66  INDEF   -0.903    INDEF      INDEF
    7   INDEF  677.20  INDEF  673.66  INDEF    -1.13    INDEF      INDEF
    8   INDEF  677.20  INDEF  673.66  INDEF    -1.41    INDEF      INDEF
    9   INDEF  677.20  INDEF  673.66  INDEF    -1.76    INDEF      INDEF
   10   INDEF  677.20  INDEF  673.66  INDEF     -2.2    INDEF      INDEF
   11   INDEF  677.20  INDEF  673.66  INDEF    -2.76    INDEF      INDEF
   12   INDEF  677.20  INDEF  673.66  INDEF    -3.44    INDEF      INDEF
   13   INDEF  677.20  INDEF  673.66  INDEF    -4.31    INDEF      INDEF
   14   INDEF  677.20  INDEF  673.66  INDEF    -5.38    INDEF      INDEF
   15   INDEF  677.20  INDEF  673.66  INDEF    -6.73    INDEF      INDEF
   16   INDEF  677.20  INDEF  673.66  INDEF    -8.41    INDEF      INDEF
   17   INDEF  677.20  INDEF  673.66  INDEF    -10.5    INDEF      INDEF
   18   INDEF  677.20  INDEF  673.66  INDEF    -13.1    INDEF      INDEF
   19   INDEF  677.20  INDEF  673.66  INDEF    -16.4    INDEF      INDEF
   20   INDEF  677.20  INDEF  673.66  INDEF    -20.5     167.       8.15
   21   INDEF  677.20  INDEF  673.66  INDEF    -37.2    INDEF      INDEF
   22   INDEF  677.20  INDEF  673.66  INDEF    -46.5    INDEF      INDEF
   23   INDEF  677.20  INDEF  673.66  INDEF    -58.1     170.       2.92
   24   INDEF  677.20  INDEF  673.66  INDEF    -71.4     103.       1.44
   25   INDEF  677.20  INDEF  673.66  INDEF    -123.     180.       1.46
   26   INDEF  677.20  INDEF  673.66  INDEF    -60.7     88.7       1.46
   27   INDEF  677.20  INDEF  673.66  INDEF    -135.     154.       1.13
   28   INDEF  677.20  INDEF  673.66  INDEF     -74.     120.       1.63
   29   INDEF  677.20  INDEF  673.66  INDEF    -112.     114.       1.01
   30   INDEF  677.20  INDEF  673.66  INDEF    -17.1     102.       5.96
   31   INDEF  677.20  INDEF  673.66  INDEF    -13.3    INDEF      INDEF
   32   INDEF  677.20  INDEF  673.66  INDEF    -16.7    INDEF      INDEF
   33   INDEF  677.20  INDEF  673.66  INDEF    -20.8     71.3       3.42
   34   INDEF  677.20  INDEF  673.66  INDEF     -7.3    INDEF      INDEF
   35   INDEF  677.20  INDEF  673.66  INDEF    -9.12    INDEF      INDEF
   36   INDEF  677.20  INDEF  673.66  INDEF    -11.4    INDEF      INDEF
   37   INDEF  677.20  INDEF  673.66  INDEF    -14.3    INDEF      INDEF
   38   INDEF  677.20  INDEF  673.66  INDEF    -17.8    INDEF      INDEF
   39   INDEF  677.20  INDEF  673.66  INDEF    -22.3     23.6       1.06
   40   INDEF  677.20  INDEF  673.66  INDEF    -6.88     11.4       1.66
   41   INDEF  677.20  INDEF  673.66  INDEF    -6.63     21.1       3.18
   42   INDEF  677.20  INDEF  673.66  INDEF      -6.     19.4       3.23
   43   21.82  677.20   9.54  673.66  10.83    -3.12    INDEF      INDEF
   44    1.40  676.69   0.95  672.11   0.71    -28.2     13.9      0.493
   45    3.07  678.32   1.12  673.94   1.05    -20.5     9.82      0.479
   46    2.30  680.52   0.88  670.58   0.90    -26.6     9.16      0.344
   47    1.97  682.61   0.80  668.42   0.88    -26.2     7.86        0.3
   48    1.68  682.77   0.78  668.35   0.81    -26.7     6.78      0.254
   49    1.10  681.95   0.63  668.82   0.63    -30.5     9.16        0.3
   50    0.64  683.56   0.46  667.17   0.44    -38.4      8.7      0.226
   51    0.43  684.87   0.33  665.95   0.34    -49.2     7.82      0.159
   52    0.39  684.68   0.34  665.76   0.35    -52.4     6.81       0.13
   53    0.29  684.27   0.28  666.47   0.28    -72.9     7.03     0.0963
   54    0.21  683.61   0.22  666.90   0.22    -99.9     6.67     0.0668
   55    0.18  684.01   0.21  666.23   0.21    -118.     6.61     0.0558
   56    0.15  684.07   0.19  666.45   0.19    -133.      5.9     0.0443
   57    0.12  683.95   0.17  666.25   0.17    -147.     5.01      0.034
   58    0.11  684.21   0.17  666.32   0.17    -136.     5.01     0.0369
   59    0.12  683.57   0.20  666.97   0.20    -130.     4.17      0.032
   60    0.14  683.29   0.24  667.33   0.24     -96.     6.75     0.0703
   61    0.27  684.35   0.52  664.55   0.53    -98.4     4.54     0.0462
   62    0.16  684.50   0.32  666.78   0.33     -68.     2.37     0.0349
   63    0.19  683.27   0.40  666.61   0.41    -44.1     1.67     0.0379
   64    0.23  683.58   0.51  666.91   0.53    -27.7     3.01      0.109
   65    0.64  681.96   1.60  668.59   1.64    -21.1      3.1      0.147
   66    0.36  678.52   0.95  672.18   0.98    -16.6     1.15     0.0693
   67    0.62  680.92   1.62  670.21   1.66    -9.54     1.02      0.107
   68    0.80  680.92   2.30  670.21   2.36    -5.29    0.363     0.0686
   69    1.12  680.92   3.32  670.21   3.82    -4.64    0.774      0.167
   70    0.91  685.01   3.06  665.59   3.30    -3.99     0.52       0.13
   71    1.71  684.07   4.05  674.14   5.35    -5.51    0.661       0.12
   72    2.99  684.07   9.48  674.14  11.15    -1.53    0.498      0.326
   73    2.05  662.47   6.23  728.73   7.16    -2.39    INDEF      INDEF

# row       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E
#     pixel**1/4                                                            

    1    0.00000   -10.5    INDEF    INDEF        INDEF        INDEF   INDEF
    2    0.84282   -10.5  7.23E-4  7.22E-4       16120.       16120.   -10.5
    3    0.86314   -10.5  7.39E-4  7.38E-4       16120.       16120.   -10.5
    4    0.88395   -10.5  7.64E-4  7.64E-4       16120.       16120.   -10.5
    5    0.90527   -10.5  8.05E-4  8.05E-4       16120.       16120.   -10.5
    6    0.92710   -10.5  8.54E-4  8.54E-4       16120.       16120.   -10.5
    7    0.94945   -10.5  9.18E-4  9.18E-4       16120.       16120.   -10.5
    8    0.97235   -10.5  0.00106  0.00106       16120.       16120.   -10.5
    9    0.99580   -10.5  0.00129  0.00129       16120.       16120.   -10.5
   10    1.01981   -10.5  0.00154  0.00154       16120.       81600.   -10.5
   11    1.04440   -10.5  0.00183  0.00183       16120.       81600.   -10.5
   12    1.06958   -10.5  0.00217  0.00216       16120.       81600.   -10.5
   13    1.09538   -10.5  0.00255  0.00255       16120.      146988.   -10.5
   14    1.12179   -10.5  0.00282  0.00281       48632.      146988.   -11.7
   15    1.14884   -10.5  0.00306  0.00305       48632.      146988.   -11.7
   16    1.17654   -10.5  0.00312  0.00311       48632.      146988.   -11.7
   17    1.20491   -10.5  0.00325  0.00324       48632.      213785.   -11.7
   18    1.23397   -10.5  0.00313  0.00313       48632.      345017.   -11.7
   19    1.26372   -10.5  0.00275  0.00274       81327.      345017.   -12.3
   20    1.29420   -10.5  0.00233  0.00233       81327.      345017.   -12.3
   21    1.32540   -10.5  0.00206  0.00205      180092.      476201.   -13.1
   22    1.35736   -10.5   0.0024  0.00239      180092.      604343.   -13.1
   23    1.39010   -10.5  0.00262  0.00262      180092.      734755.   -13.1
   24    1.42362   -10.5  0.00327  0.00326      245753.      799529.   -13.5
   25    1.45794   -10.5  0.00274  0.00273      279038.     1127651.   -13.6
   26    1.49310   -10.5  0.00467  0.00465      279038.     1127651.   -13.6
