# i     RA           DEC         V        g        z       
  1     190.940928   11.554591   1128.0   23.512   22.201  
  2     190.968314   11.550888   1171.0   21.593   20.587  
  3     190.956115   11.550649   1036.0   23.951   22.171  
  4     190.9979     11.5586     1210.0   23.761   22.289  
  5     190.94571    11.563868   837.0    23.144   22.305  
  6     190.97861    11.561268   930.0    23.765   22.355  
  7     190.935322   11.554961   1027.0   22.132   20.651  
  8     190.972716   11.538438   1286.0   22.017   20.729  
  9     190.957741   11.53852    1497.0   21.715   20.756  
  10    190.970971   11.569358   1386.0   23.545   22.639  
  11    190.964076   11.561869   1050.0   21.775   20.789  
  12    190.960135   11.599951   1114.0   22.085   20.822  
  13    190.980223   11.556329   1119.0   23.847   22.763  
  14    190.952045   11.558243   1345.0   22.021   20.978  
  15    190.927624   11.561247   943.0    22.149   21.044  
  16    190.971457   11.550338   723.0    22.14    21.043  
  17    190.98018    11.59037    854.0    22.589   21.127  
  18    190.975796   11.559922   1198.0   22.428   21.121  
  19    190.932606   11.556933   814.0    22.284   21.173  
  20    190.950706   11.554195   435.0    22.311   21.159  
  21    190.950801   11.543297   1028.0   21.004   19.555  
  22    190.977128   11.545064   1165.0   22.483   21.199  
  23    190.945869   11.582635   484.0    22.301   21.228  
  24    190.962849   11.548043   1295.0   22.436   21.228  
  25    190.943846   11.566978   744.0    22.664   21.246  
  26    190.954747   11.547145   1288.0   22.859   21.184  
  27    190.993942   11.55583    849.0    22.893   21.341  
  28    190.925748   11.56362    1492.0   21.512   20.22   
  29    190.99913    11.560489   1258.0   22.697   21.404  
  30    190.945015   11.547525   1555.0   22.286   21.351  
  31    190.960429   11.551387   1029.0   22.349   21.405  
  32    190.944658   11.578264   1249.0   22.542   21.413  
  33    190.935929   11.554324   722.0    21.901   20.379  
  34    190.985543   11.557587   1110.0   22.81    21.639  
  35    190.969996   11.54818    999.0    22.437   21.575  
  36    190.995062   11.567944   1040.0   21.539   20.413  
  37    190.971596   11.589068   1275.0   23.016   21.67   
  38    190.97856    11.585947   922.0    23.038   21.673  
  39    190.926564   11.564781   969.0    23.141   21.72   
  40    190.968866   11.577995   695.0    22.668   21.404  
  41    190.973885   11.538153   1146.0   21.813   20.444  
  42    190.959369   11.536497   1183.0   22.949   21.741  
  43    190.946454   11.57348    919.0    23.128   21.787  
  44    190.952497   11.585424   1065.0   22.89    21.838  
  45    190.956764   11.559963   893.0    22.834   21.819  
  46    190.942674   11.559595   705.0    21.971   20.475  
