# ID             RA           DEC         RV     RV_err   RAD    index_phot   g        err_g   z        err_z   (g-z)   err_gz  
  NGC4649_S1     190.940928   11.554591   1128   19       1.44   A105         23.512   0.013   22.201   0.015   1.316   0.02    
  NGC4649_S2     190.968314   11.550888   1171   52       3.04   A11          21.593   0.012   20.587   0.013   1.006   0.018   
  NGC4649_S3     190.956115   11.550649   1036   28       2.33   A118         23.951   0.03    22.171   0.025   1.78    0.04    
  NGC4649_S4     190.9979     11.5586     1210   15       4.79   A120         23.761   0.023   22.289   0.021   1.472   0.031   
  NGC4649_S6     190.94571    11.563868   837    16       1.84   A125         23.144   0.016   22.305   0.021   0.814   0.027   
  NGC4649_S7     190.97861    11.561268   930    15       3.68   A129         23.765   0.023   22.355   0.023   1.41    0.033   
  NGC4649_S8     190.935322   11.554961   1027   13       1.11   A13          22.132   0.012   20.651   0.013   1.456   0.017   
  NGC4649_S9     190.972716   11.538438   1286   7        3.41   A14          22.017   0.013   20.729   0.013   1.288   0.018   
  NGC4649_S11    190.957741   11.53852    1497   8        2.57   A16          21.715   0.012   20.756   0.013   0.959   0.018   
  NGC4649_S12    190.970971   11.569358   1386   26       3.35   A161         23.545   0.025   22.639   0.031   0.907   0.04    
  NGC4649_S13    190.964076   11.561869   1050   38       2.85   A17          21.775   0.012   20.789   0.013   0.986   0.018   
  NGC4649_S14    190.960135   11.599951   1114   33       3.82   A18          22.085   0.013   20.822   0.013   1.263   0.018   
  NGC4649_S15    190.980223   11.556329   1119   17       3.75   A197         23.847   0.026   22.763   0.031   1.085   0.041   
  NGC4649_S16    190.952045   11.558243   1345   7        2.11   A20          22.021   0.013   20.978   0.015   1.043   0.019   
  NGC4649_S17    190.927624   11.561247   943    16       0.83   A21          22.149   0.01    21.044   0.011   1.101   0.015   
  NGC4649_S18    190.971457   11.550338   723    16       3.23   A22          22.14    0.013   21.043   0.015   1.097   0.019   
  NGC4649_S19    190.98018    11.59037    854    10       4.37   A25          22.589   0.015   21.127   0.015   1.461   0.021   
  NGC4649_S20    190.975796   11.559922   1198   15       3.51   A26          22.428   0.014   21.121   0.015   1.307   0.02    
  NGC4649_S21    190.932606   11.556933   814    27       0.98   A28          22.284   0.01    21.173   0.012   1.106   0.016   
  NGC4649_S22    190.950706   11.554195   435    11       2.01   A29          22.311   0.014   21.159   0.016   1.152   0.021   
  NGC4649_S23    190.950801   11.543297   1028   5        2.09   A3           21.004   0.011   19.555   0.011   1.449   0.016   
  NGC4649_S24    190.977128   11.545064   1165   13       3.59   A31          22.483   0.014   21.199   0.015   1.284   0.02    
  NGC4649_S26    190.945869   11.582635   484    10       2.49   A33          22.301   0.014   21.228   0.015   1.073   0.021   
  NGC4649_S27    190.962849   11.548043   1295   45       2.74   A35          22.436   0.014   21.228   0.015   1.209   0.02    
  NGC4649_S28    190.943846   11.566978   744    7        1.82   A36          22.664   0.012   21.246   0.011   1.422   0.017   
  NGC4649_S29    190.954747   11.547145   1288   11       2.27   A37          22.859   0.017   21.184   0.016   1.675   0.023   
  NGC4649_S30    190.993942   11.55583    849    8        4.55   A39          22.893   0.016   21.341   0.015   1.552   0.022   
  NGC4649_S31    190.925748   11.56362    1492   8        0.85   A4           21.512   0.01    20.22    0.01    1.284   0.014   
  NGC4649_S32    190.99913    11.560489   1258   14       4.88   A42          22.697   0.015   21.404   0.015   1.292   0.021   
  NGC4649_S33    190.945015   11.547525   1555   11       1.7    A43          22.286   0.014   21.351   0.017   0.935   0.022   
  NGC4649_S34    190.960429   11.551387   1029   15       2.58   A44          22.349   0.014   21.405   0.016   0.944   0.021   
  NGC4649_S35    190.944658   11.578264   1249   15       2.25   A46          22.542   0.015   21.413   0.016   1.129   0.022   
  NGC4649_S36    190.935929   11.554324   722    7        1.14   A5           21.901   0.01    20.379   0.009   1.532   0.013   
  NGC4649_S38    190.985543   11.557587   1110   15       4.07   A57          22.81    0.015   21.639   0.016   1.171   0.022   
  NGC4649_S39    190.969996   11.54818    999    11       3.15   A59          22.437   0.014   21.575   0.018   0.862   0.023   
  NGC4649_S40    190.995062   11.567944   1040   11       4.7    A6           21.539   0.012   20.413   0.012   1.126   0.017   
  NGC4649_S41    190.971596   11.589068   1275   43       3.9    A62          23.016   0.016   21.67    0.018   1.346   0.024   
  NGC4649_S42    190.97856    11.585947   922    17       4.15   A63          23.038   0.018   21.673   0.018   1.365   0.025   
  NGC4649_S43    190.926564   11.564781   969    22       0.93   A64          23.141   0.015   21.72    0.017   1.378   0.023   
  NGC4649_S44    190.968866   11.577995   695    14       3.43   A67          22.668   0.015   21.404   0.016   1.265   0.022   
  NGC4649_S45    190.973885   11.538153   1146   32       3.48   A7           21.813   0.012   20.444   0.012   1.369   0.017   
  NGC4649_S46    190.959369   11.536497   1183   63       2.7    A71          22.949   0.017   21.741   0.019   1.208   0.025   
  NGC4649_S47    190.946454   11.57348    919    18       2.15   A72          23.128   0.018   21.787   0.018   1.341   0.025   
  NGC4649_S48    190.952497   11.585424   1065   19       2.88   A75          22.89    0.017   21.838   0.019   1.052   0.025   
  NGC4649_S49    190.956764   11.559963   893    12       2.4    A76          22.834   0.016   21.819   0.02    1.015   0.025   
  NGC4649_S50    190.942674   11.559595   705    41       1.59   A8           21.971   0.011   20.475   0.011   1.5     0.015   
