A3     190.9508006 +11.5432966 21.004  0.011 19.555  0.011  1.449  0.016
A4     190.9257483 +11.5636199 21.512  0.010 20.220  0.010  1.284  0.014
A5     190.9359288 +11.5543245 21.901  0.010 20.379  0.009  1.532  0.013
A6     190.9950621 +11.5679435 21.539  0.012 20.413  0.012  1.126  0.017
A7     190.9738846 +11.5381531 21.813  0.012 20.444  0.012  1.369  0.017
A8     190.9426739 +11.5595950 21.971  0.011 20.475  0.011  1.500  0.015
A11    190.9683138 +11.5508885 21.593  0.012 20.587  0.013  1.006  0.018
A12    190.9474641 +11.5785513 21.706  0.012 20.627  0.013  1.079  0.018
A13    190.9353218 +11.5549610 22.132  0.012 20.651  0.013  1.456  0.017
A14    190.9727156 +11.5384375 22.017  0.013 20.729  0.013  1.288  0.018
A15    190.9290759 +11.5656138 22.231  0.009 20.750  0.010  1.480  0.013
A16    190.9577409 +11.5385200 21.715  0.012 20.756  0.013  0.959  0.018
A17    190.9640762 +11.5618693 21.775  0.012 20.789  0.013  0.986  0.018
A18    190.9601353 +11.5999508 22.085  0.013 20.822  0.013  1.263  0.018
A19    190.9346536 +11.5549426 22.533  0.013 21.020  0.012  1.507  0.018
A20    190.9520452 +11.5582434 22.021  0.013 20.978  0.015  1.043  0.019
A21    190.9276245 +11.5612469 22.149  0.010 21.044  0.011  1.101  0.015
A22    190.9714571 +11.5503376 22.140  0.013 21.043  0.015  1.097  0.019
A23    190.9805881 +11.5680235 22.201  0.013 21.087  0.015  1.113  0.019
A25    190.9801805 +11.5903695 22.589  0.015 21.127  0.015  1.461  0.021
A26    190.9757965 +11.5599224 22.428  0.014 21.121  0.015  1.307  0.020
A27    190.9563426 +11.5910568 22.694  0.015 21.164  0.015  1.529  0.021
A28    190.9326055 +11.5569329 22.284  0.010 21.173  0.012  1.106  0.016
A29    190.9507058 +11.5541948 22.311  0.014 21.159  0.016  1.152  0.021
A30    190.9511302 +11.5510822 22.669  0.016 21.185  0.016  1.484  0.023
A31    190.9771279 +11.5450637 22.483  0.014 21.199  0.015  1.284  0.020
A33    190.9458688 +11.5826353 22.301  0.014 21.228  0.015  1.073  0.021
A34    190.9631326 +11.5404864 22.847  0.016 21.256  0.015  1.591  0.022
A35    190.9628491 +11.5480431 22.436  0.014 21.228  0.015  1.209  0.020
A36    190.9438465 +11.5669779 22.664  0.012 21.246  0.011  1.422  0.017
A37    190.9547474 +11.5471447 22.859  0.017 21.184  0.016  1.675  0.023
A38    190.9426680 +11.5656146 22.597  0.012 21.361  0.010  1.231  0.016
A39    190.9939422 +11.5558302 22.893  0.016 21.341  0.015  1.552  0.022
A40    190.9443455 +11.5563738 23.002  0.018 21.384  0.016  1.618  0.024
A41    190.9573720 +11.5459376 22.293  0.014 21.390  0.016  0.903  0.021
A42    190.9991297 +11.5604887 22.697  0.015 21.404  0.015  1.292  0.021
A43    190.9450150 +11.5475248 22.286  0.014 21.351  0.017  0.935  0.022
A44    190.9604292 +11.5513867 22.349  0.014 21.405  0.016  0.944  0.021
A45    190.9424883 +11.5734230 22.041  0.013 20.893  0.014  1.148  0.019
A46    190.9446579 +11.5782635 22.542  0.015 21.413  0.016  1.129  0.022
A47    190.9610423 +11.5428436 22.865  0.016 21.422  0.016  1.444  0.023
A48    190.9462348 +11.5637909 22.816  0.015 21.478  0.013  1.345  0.020
A49    190.9458609 +11.5662550 23.153  0.013 21.537  0.011  1.612  0.017
A50    190.9762384 +11.5803742 23.033  0.018 21.523  0.016  1.510  0.024
A52    190.9556255 +11.5436122 23.075  0.018 21.597  0.018  1.479  0.025
A54    190.9713605 +11.5349611 22.847  0.016 21.588  0.016  1.259  0.023
A55    190.9473430 +11.5666550 22.736  0.013 21.623  0.014  1.122  0.019
A56    190.9720507 +11.5613879 23.025  0.018 21.626  0.018  1.400  0.025
A57    190.9855430 +11.5575866 22.810  0.015 21.639  0.016  1.171  0.022
A58    190.9775454 +11.5893514 22.654  0.015 21.622  0.016  1.031  0.022
A59    190.9699965 +11.5481802 22.437  0.014 21.575  0.018  0.862  0.023
A60    190.9495695 +11.5583527 22.530  0.015 21.624  0.018  0.906  0.023
A61    190.9726609 +11.5531284 22.592  0.015 21.653  0.018  0.939  0.023
A62    190.9715961 +11.5890680 23.016  0.016 21.670  0.018  1.346  0.024
A63    190.9785602 +11.5859473 23.038  0.018 21.673  0.018  1.365  0.025
