 15 06 09.60  01 37 51.1    1599    21  28.3   
 15 06 10.00  01 34 55.7    1469    23  28.4   
 15 06 10.60  01 35 29.3    1561    22  28.1   
 15 06 10.60  01 33 56.0    1692    21  28.0   
 15 06 11.20  01 38 29.1    1675    21  28.4   
 15 06 11.70  01 35 58.4    1655    21  28.5   
 15 06 12.40  01 38 11.7    1319    21  28.4   
 15 06 13.00  01 35 02.9    1554    22  28.5   
 15 06 13.90  01 35 26.5    2039    21  28.5   
 15 06 14.40  01 36 38.6    1885    21  28.5   
 15 06 15.00  01 33 32.5    1756    21  28.3   
 15 06 16.00  01 32 41.8    1096    21  28.6   
 15 06 16.80  01 35 45.6    1533    21  27.6   
 15 06 17.90  01 37 14.6    1610    21  29.1   
 15 06 17.90  01 34 46.4    1756    21  28.2   
 15 06 18.30  01 32 24.2    1743    21  28.2   
 15 06 19.00  01 32 32.8    1734    21  29.0   
 15 06 19.10  01 37 30.9    1579    21  28.0   
 15 06 19.60  01 39 17.2    1725    21  28.8   
 15 06 19.70  01 37 33.5    1817    21  30.0   
 15 06 19.90  01 35 57.9    1957    21  32.1   
 15 06 21.00  01 32 51.9    1755    21  28.9   
 15 06 21.50  01 33 54.3    1438    21  28.4   
 15 06 21.70  01 37 48.2    1993    22  30.1   
 15 06 21.80  01 32 42.2    1958    21  29.0   
 15 06 22.00  01 37 54.2    1692    22  28.5   
 15 06 22.00  01 36 53.2    2188    21  28.5   
 15 06 22.00  01 35 27.8    1908    22  28.8   
 15 06 22.10  01 38 03.5    1777    21  29.0   
 15 06 22.20  01 36 24.7    1889    21  28.1   
 15 06 22.40  01 39 51.8    1815    22  28.5   
 15 06 22.40  01 36 27.9    1490    21  28.5   
 15 06 22.50  01 39 15.1    1892    21  28.5   
 15 06 22.70  01 35 39.4    1695    21  29.1   
 15 06 22.80  01 35 34.7    1932    21  28.7   
 15 06 23.00  01 39 02.6    1812    21  29.0   
 15 06 23.10  01 36 05.5    1748    21  28.5   
 15 06 23.60  01 33 28.7    1488    22  28.3   
 15 06 24.10  01 31 37.4    1778    22  28.8   
 15 06 24.50  01 38 41.3    2029    21  28.9   
 15 06 24.60  01 36 45.7    1661    21  28.8   
 15 06 24.80  01 33 39.4    1729    22  28.1   
 15 06 25.30  01 37 32.0    1614    21  28.9   
 15 06 25.60  01 35 59.9    1736    22  28.2   
 15 06 25.80  01 37 55.8    1620    21  29.2   
 15 06 25.90  01 32 11.8    1790    22  28.5   
 15 06 26.00  01 35 39.4    1893    22  28.5    
 15 06 26.00  01 31 24.2    1334    20  28.7   
 15 06 26.10  01 36 03.5    1840    21  28.8   
 15 06 26.30  01 39 48.2    1870    21  28.7   
 15 06 26.50  01 35 55.4    1888    21  28.9   
 15 06 26.70  01 41 00.4    1699    21  28.8   
 15 06 26.80  01 35 57.3    1702    21  27.8   
 15 06 26.90  01 39 35.5    1810    21  29.1   
 15 06 27.00  01 33 09.3    1957    21  29.4   
 15 06 27.20  01 40 59.5    1703    21  28.7   
 15 06 27.50  01 36 47.6    2036    20  28.0   
 15 06 27.70  01 37 58.0    1628    21  29.0   
 15 06 28.10  01 35 00.2    1641    21  29.0   
 15 06 28.20  01 37 41.2    1210    21  28.8   
 15 06 28.50  01 34 35.1    1704    22  30.2   
 15 06 28.70  01 38 34.4    1585    23  28.5   
 15 06 28.90  01 37 35.8    1463    21  28.4   
 15 06 29.40  01 34 30.3    1592    22  28.8   
 15 06 29.60  01 38 46.0    1687    21  28.8   
 15 06 29.60  01 38 00.0    1764    21  29.1   
 15 06 29.60  01 33 18.8    1651    20  27.6   
 15 06 29.90  01 37 50.0    1830    21  28.7   
 15 06 30.30  01 35 11.8    1616    21  28.4   
 15 06 30.50  01 35 10.5    1370    20  28.9   
 15 06 30.90  01 37 11.0    1634    21  28.7   
 15 06 31.00  01 36 46.8    1636    20  27.3   
 15 06 31.20  01 36 59.4    1916    21  32.4   
 15 06 31.40  01 34 46.8    1823    22  28.3   
 15 06 31.90  01 37 48.6    1543    21  28.6   
 15 06 32.00  01 35 38.8    1606    22  28.4   
 15 06 32.10  01 35 58.2    2108    21  28.1   
 15 06 32.40  01 37 32.9    1634    21  28.3   
 15 06 32.40  01 37 24.4    1682    21  28.2   
 15 06 32.90  01 38 09.4    1420    20  28.8   
 15 06 32.90  01 36 38.5    1760    21  29.9   
 15 06 32.90  01 35 30.0    1683    21  28.4   
 15 06 33.00  01 35 48.3    1726    21  28.6   
 15 06 33.20  01 37 41.9    1198    21  28.7   
 15 06 33.20  01 36 31.9    1683    21  28.9   
 15 06 33.30  01 35 30.6    1580    21  28.6   
 15 06 33.90  01 37 31.9    1694    21  28.1   
 15 06 33.90  01 36 48.3    1651    21  28.6   
 15 06 33.90  01 35 33.1    2232    21  28.0   
 15 06 33.90  01 35 26.3    1761    21  29.6   
 15 06 34.20  01 35 33.4    1337    22  28.6   
 15 06 34.60  01 41 04.9    1617    21  29.0   
 15 06 34.60  01 32 18.1    1818    21  29.4   
 15 06 34.80  01 35 58.1    1521    21  29.2   
 15 06 34.90  01 35 42.5    2022    21  29.1   
 15 06 35.10  01 35 45.4    1793    21  28.0   
 15 06 35.40  01 36 49.8    2021    21  28.8   
 15 06 35.40  01 35 08.8    1610    20  28.5   
 15 06 35.50  01 38 43.3    1498    21  29.1   
 15 06 36.40  01 35 43.0    2003    22  30.1   
 15 06 36.70  01 37 16.4    1926    21  28.7   
 15 06 36.80  01 37 46.7    2017    20  28.3   
 15 06 37.30  01 38 13.4    1792    21  29.0   
 15 06 37.40  01 36 55.1    1378    21  28.7   
 15 06 37.70  01 35 50.4    1569    21  27.7   
 15 06 38.20  01 36 35.3    1781    22  28.7   
 15 06 38.60  01 38 13.6    1559    21  28.4   
 15 06 38.60  01 37 45.8    1618    21  28.9   
 15 06 38.80  01 35 08.8    1697    21  28.2   
 15 06 39.20  01 39 58.1    1402    21  28.9   
 15 06 40.00  01 40 19.4    1794    21  29.4   
 15 06 40.00  01 38 10.6    1699    22  28.8   
 15 06 40.20  01 35 16.3    1829    21  28.3   
 15 06 41.00  01 39 22.3    1761    20  30.2   
 15 06 41.60  01 37 47.3    1644    21  29.6   
 15 06 41.80  01 37 48.7    1314    21  28.4   
 15 06 42.10  01 40 03.9    1971    21  28.3   
 15 06 42.40  01 38 12.5    1779    21  29.5   
 15 06 43.10  01 35 10.5    1382    21  27.7   
 15 06 43.90  01 38 19.6    1754    22  28.7   
 15 06 44.10  01 37 56.1    1621    21  28.4   
 15 06 44.60  01 35 06.3    1318    21  29.6   
 15 06 46.90  01 34 32.2    1971    22  28.1   
