 15 05 48.90  55 45 48.6     27.2  
 15 06 10.40  55 49 44.0     26.7  
 15 06 05.80  55 47 55.1     28.3  
 15 05 55.80  55 45 38.0     27.5  
 15 06 11.50  55 48 51.4     27.6  
 15 06 09.10  55 47 20.8     27.1  
 15 06 26.60  55 45 41.3     26.9  
 15 06 09.50  55 46 25.0     27.2  
 15 06 16.50  55 47 40.3     27.8  
 15 06 12.30  55 46 43.3     27.4  
 15 06 15.00  55 47 13.3     27.3  
 15 06 16.20  55 47 18.1     27.9  
 15 06 14.80  55 46 57.1     27.2  
 15 06 16.40  55 47 43.7     27.5  
 15 06 13.50  55 46 24.0     27.2  
 15 06 17.90  55 47 44.6     27.1  
 15 06 17.90  55 46 56.5     27.3  
 15 06 15.80  55 46 18.8     26.8  
 15 06 14.10  55 45 44.2     27.6  
 15 06 19.60  55 46 51.2     27.4  
 15 06 21.10  55 47 49.9     9999
 15 06 07.50  55 44 14.2     28.1  
 15 06 17.90  55 46 49.1     27.2  
 15 06 21.30  55 46 36.4     26.7  
 15 06 28.30  55 48 10.9     28.8  
 15 06 20.40  55 46 24.5     27.1  
 15 06 08.40  55 43 55.3     27.7  
 15 06 37.00  55 49 45.7     27.8  
 15 06 12.00  55 43 50.9     27.7  
 15 06 19.10  55 45 11.8     9999 
 15 06 30.20  55 47 24.9     27.5  
 15 06 34.30  55 47 54.7     26.7  
 15 06 21.60  55 45 20.0     27.4  
 15 06 58.20  55 42 33.2     27.2  
 15 06 58.50  55 43 49.6     26.9  
 15 06 41.40  55 46 56.4     26.6  
 15 06 12.00  55 42 31.5     27.3  
 15 06 18.50  55 44 25.9     27.7  
 15 06 36.20  55 49 59.5     27.4  
 15 06 19.30  55 42 16.2     27.9  
 15 06 42.50  55 46 56.4     27.3  
 15 06 26.60  55 44 42.5     26.2  
 15 06 43.20  55 46 57.2     27.5  
 15 06 52.40  55 43 34.3     27.7  
 15 06 35.80  55 44 27.6     27.3  
 15 06 20.70  55 41 50.9     27.2  
 15 06 41.60  55 45 39.3     27.2  
 15 06 37.60  55 44 48.4     27.7  
 15 06 38.00  55 44 52.4     27.7  
 15 06 44.60  55 46 48.2     27.0  
 15 06 36.50  55 44 12.9     27.3  
 15 06 35.30  55 43 39.0     26.3  
 15 06 40.20  55 44 47.6     27.3  
 15 06 42.70  55 44 44.7     26.9  
 15 06 48.00  55 44 23.6     27.1  
 15 06 44.50  55 42 54.9     27.7  
 15 06 41.00  55 44 13.1     27.8  
 15 06 53.70  55 46 46.9     28.0  
 15 06 42.70  55 43 59.4     27.2  
 15 06 38.70  55 43 39.9     28.7  
 15 06 37.90  55 43 28.0     28.6  
 15 06 45.20  55 44 26.7     27.6  
 15 06 42.90  55 43 57.5     27.1  
 15 06 43.30  55 44 43.3     27.2  
 15 06 48.80  55 45 43.7     27.2  
 15 06 38.50  55 42 45.8     27.8  
 15 06 44.90  55 44 12.7     27.6  
 15 06 47.80  55 44 51.6     27.2  
 15 06 46.90  55 44 48.8     27.5  
 15 06 45.30  55 44 57.8     27.2  
