#col1_2   col2_2  col3_2  col4_2  col5_2 col6_2 col7_2  col6_1  col9 col10 col11
345.278  30.1201 -122.71 -28.61  726.0  0.13   0.0     0.694   0.0  3.0   11.0 
345.275  30.1219 -111.16 -28.28  776.0  0.12   0.0     0.74    0.0  3.0   23.0 
345.2055 30.1231 74.15   -140.04 865.0  0.83   0.68    0.759   0.0  4.0   26.0 
345.2586 30.1246 -62.95  -47.15  725.0  0.18   0.0     0.578   0.0  3.0   25.0 
345.2238 30.1277 34.8    -95.42  782.0  0.39   0.67    0.643   0.0  4.0   6.0  
345.2553 30.1313 -41.3   -32.24  749.0  0.15   0.03    0.713   0.0  2.0   32.0 
345.2238 30.1313 41.57   -84.42  823.0  0.29   0.27    0.659   0.0  4.0   34.0 
345.2659 30.136  -60.33  -0.38   810.0  0.08   0.24    0.633   0.0  1.0   22.0 
345.2628 30.139  -46.38  3.76    768.0  0.1    0.02    0.708   0.0  1.0   29.0 
345.255  30.1399 -24.18  -6.51   741.0  0.23   0.02    0.859   0.0  1.0   2.0  
345.2468 30.1482 13.53   5.18    881.0  0.4    0.37    0.638   0.0  1.0   12.0 
345.2523 30.1485 -0.59   15.13   769.0  0.31   0.34    0.616   0.0  1.0   20.0 
345.2452 30.1489 18.82   4.57    873.0  0.34   0.54    0.798   0.0  1.0   24.0 
345.2085 30.1485 115.0   -57.4   918.0  0.15   0.05    0.652   0.0  4.0   28.0 
345.2555 30.1556 4.72    42.3    910.0  0.17   0.14    0.77    0.0  2.0   31.0 
345.2465 30.1559 29.1    27.96   943.0  0.17   0.05    0.69    0.0  1.0   30.0 
345.2339 30.1566 63.69   9.37    946.0  0.09   0.01    0.708   0.0  1.0   35.0 
345.2259 30.1563 84.12   -4.69   969.0  0.07   0.0     0.804   0.0  2.0   33.0 
345.2359 30.1574 59.71   14.98   944.0  0.1    0.01    0.849   0.0  1.0   19.0 
345.2431 30.1577 41.54   28.0    908.0  0.15   0.05    0.784   0.0  1.0   21.0 
345.2204 30.1678 120.53  21.0    951.0  0.1    0.0     0.743   0.0  3.0   16.0 
345.2296 30.1725 105.52  50.72   868.0  0.19   0.26    0.647   0.0  4.0   27.0 
